Unnamed: 0,title,tags,heading,source,text,bias_rating
8271,Democrats Aim To Check Trump With New House Majority,['Elections'],"Dems to flex muscle with new House majority: Subpoenas, investigations, even possible impeachment talks loom",Fox News (Online News),"The incoming Democratic majority in the House of Representatives has the power to open a slew of investigations into the White House and President Trump when the new Congress is seated in January, and early indications are that Democrats plan to aggressively take advantage of their new authority.",right
3801,4 Senators Sold Off Stock Ahead of Coronavirus Threat,"['Coronavirus', 'Economy And Jobs', 'Banking And Finance', 'Dianne Feinstein', 'Richard Burr', 'Kelly Loeffler', 'James Inhofe', 'Stock Market', 'US Senate', 'Politics']","Dianne Feinstein, 3 Senate colleagues sold off stocks before coronavirus crash",Fox News (Online News),"Sen. Dianne Feinstein of California and three of her Senate colleagues sold off stocks worth millions of dollars in the days before the coronavirus outbreak crashed the market, according to reports.
The data is listed on a U.S. Senate website containing financial disclosures from Senate members.
Feinstein, who serves as ranking member of the Senate Judiciary Committee, and her husband sold between $1.5 million and $6 million in stock in California biotech company Allogene Therapeutics, between Jan. 31 and Feb. 18, The New York Times reported.
When questioned by the...",right
15221,Billionaire Philanthropist Tom Steyer Announces Presidential Bid,"['Tom Steyer', '2020 Election', 'Democratic Party', 'Presidential Elections', 'Elections']","Billionaire Tom Steyer Enters Presidential Race, Vowing To Get Corporations Out of Politics",Reason,"Billionaire Tom Steyer—whose name recognition of late centers around his campaign to impeach President Donald Trump—officially entered the presidential race on Tuesday, vowing to confront corporations and lessen their sway over the political system.
""I think people believe that the corporations have bought the democracy. That the politicians don't care about them or respect them,"" he said in a video announcement. ""Really what we're trying to do is make democracy work by pushing power down to the people.""
Although Steyer has not yet outlined a policy platform, he has been...",right
9984,Senators to Hear Opening Arguments in Second Trump Impeachment Trial,"['Impeachment', 'Impeachment Trial', 'House Managers', 'Donald Trump', 'US Senate', 'Politics']",Dems set to prosecute case at Trump impeachment trial amid speculation over which Republicans might convict,Fox News (Online News),"The House impeachment managers will begin their opening arguments on the merits of the impeachment of former President Donald Trump when the chamber convenes at noon on Wednesday, following a 56-44 Senate vote to move ahead with the trial Tuesday.
Meanwhile, speculation is running rampant about which Republicans may vote to convict Trump. The attention has mainly been on a group of moderate senators, but also includes Senate Minority Leader Mitch McConnell, R-Ky. Bloomberg reported Tuesday that McConnell hasn't decided how he'll vote on the final conviction question and...",right
20167,Senate Confirms Merrick Garland As Attorney General,"['Justice Department', 'US Senate', 'Justice']",Senate Votes to Confirm Merrick Garland as Attorney General,National Review,"The Senate on Wednesday voted 70-30 to confirm Merrick Garland as attorney general, five years after the federal appeals court judge was blocked from consideration as former President Barack Obama’s nominee to the Supreme Court.
Garland has said his top priority as head of the Justice Department will be overseeing investigations into the January 6 Capitol riot.",right
21341,Rand Paul Takes Heat for Shutdown,"['US Senate', 'Politics']","Rand Paul’s short-lived shutdown is ending, but his warning about GOP deficit hypocrisy reverberates",James Hohmann,"THE BIG IDEA: Republicans are all Keynesians now, but not Rand Paul. As he forced a brief government shutdown overnight to draw attention to his party’s hypocrisy on deficit spending, Kentucky’s junior senator was the personification of William F. Buckley’s definition of conservatism: standing athwart history, yelling stop, at a time when no one is inclined to do so, or to have much patience with those who so urge it.",right
10724,Romney Taxes,"['Presidential Elections', 'Elections']",Romney campaign doesn't bite on Obama tax return offer,Fox News (Online News),"The Obama campaign made an unusual offer to Mitt Romney Friday, pledging to refrain from criticizing his transparency on taxes if he agrees to release five more years of returns. The Romney campaign's response? Thanks, but no thanks.",right
16109,Rubio Unleashes On Trump,"['Presidential Elections', 'Elections']",The gloves are off: Rubio slams Trump as ‘con artist’ in wake of nasty debate,Washington Times,"Sen. Marco Rubio on Friday attacked GOP presidential front-runner Donald Trump as a “con artist” who has spent much of his life sticking it to the “little guy” and that the United States is on the brink of turning over the nuclear codes to an “erratic individual.”
“I can just tell you that a con artist is about to take over the Republican party and the conservative movement, and we have to put a stop to it,” Mr. Rubio, Florida",right
15449,CBS/NYT/Quinnipiac Poll,"['Presidential Elections', 'Elections']",Poll: Obama leads in three key swing states,Washington Times,"President Barack Obama leads Republican Mitt Romney by a significant margin in three key battleground states, according to a new Quinnipiac University/New York Times/CBS poll.",right
11979,Chaos Outside Trump Rally,"['Presidential Elections', 'Elections']","Violent Protesters at Trump Rally in California Smash Police Car, Try to Tip It Over",The Blaze,"As Republican presidential front-runner Donald Trump held one of his typically raucous rallies inside the Pacific Amphitheater in Costa Mesa, Calif., Thursday night, a wild scene was unfolding outside.
A large group of protesters flooded the streets as Trump kicked off his Golden State campaign. The crowd continued to increase as the billionaire businessman’s speech drew to a close around 8:45 p.m. local time and he began signing autographs as his Secret Service detail stood close by.",right
13432,Facebook Will Now Let Users Turn Off Political Ads,"['Facebook', 'Political Advertising', 'Election Interference', 'Voter Registration', 'Technology']",Facebook to allow users to opt out of seeing political and social issue ads,Washington Times,"Facebook this week announced that users in the U.S. will soon be able to opt out of seeing social issue, electoral or political ads as the company faces pressure to police “misinformation” on its platform.
The company on Tuesday said it was rolling out the option for some people before expanding it to everyone in the U.S. in the next few weeks.
Many have criticized Facebook for failing to police “misinformation” on its platform, and CEO Mark Zuckerberg said they do have rules against speech that will cause “physical harm”...",right
11158,Fact-Checking Claims of Voter Fraud in the 2020 Election,"['Facts And Fact Checking', '2020 Election', '2020 Election Fact Checking', 'Donald Trump', 'Joe Biden']",U.S. Election Fraud is Real—And It Is Being Ignored,Guest Writer - Right,"Mark Harris was riding high on Election Day in 2018. The Republican candidate for North Carolina’s 9th Congressional District had beaten his Democratic opponent in a very close race. Next stop: the U.S. House of Representatives.
Or so it seemed. Harris had won by 905 votes, a margin of only 0.3 percent of all ballots cast. The state’s Board of Elections refused to certify the results, though, when evidence surfaced of “concerted fraudulent activities related to absentee by-mail ballots,” including illegal vote harvesting by a political consultant and his associates....",right
20113,Senate To Hold Vote Despite Defections,"['US Senate', 'Politics']","On Obamacare Plan B, Republican opponents say insurance markets can’t count on hope",Washington Times,McConnell says he’ll likely schedule roll call anyway,right
16299,Jeb’s Presidential Promise,"['Presidential Elections', 'Elections']",Jeb and Hillary: Flawed front-runners generating little excitement,Fox News (Online News),"America may well get another Bush-Clinton race once this whole presidential thing shakes out, with predictable groans about royal families and political retreads.
But in looking at the coverage this past week, I was struck by this thought: This is one weak pair of front-runners.
Jeb is losing to a guy who’s never run for public office and is in hot water over comments about Mexican immigrants. In short, he’s been Trumped. (Though maybe The Donald has trumped himself by making light of John McCain’s Vietnam captivity, not that the...",right
1352,Public Impeachment Hearings to Commence Next Week,"['White House', 'US Congress', 'Impeachment', 'Impeachment Inquiry', 'Donald Trump', 'Politics']",Adam Schiff says public impeachment hearings to begin next week,Washington Examiner,"House Intelligence Committee Chairman Adam Schiff announced Wednesday that open impeachment hearings would begin next week.
William Taylor, the top U.S. diplomat to Ukraine, and George Kent, deputy assistant secretary of state for European and Eurasian Affairs, would be the first to publicly testify to the congressional committees leading the investigation into President Trump’s conduct with Ukraine.
The two will answer questions on Wednesday.
Former U.S. Ambassador to Ukraine Marie Yovanovitch would testify Friday, Nov. 15.",right
21364,Outlook for Graham-Cassidy Bill,"['US Senate', 'Politics']",McConnell pressures Senate Republican holdouts to support last-ditch Obamacare repeal bill,Washington Times,"Senate Republicans will hold a vote on an Obamacare repeal bill next week, leaders announced Wednesday, attempting one final Hail Mary play to kill off the 2010 law before the chamber runs out of time.",right
13311,First Person Charged With Felony In Capitol Breach Case Gets Prison Sentence,"['Violence In America', 'Capitol Chaos', 'US Senate', 'US Congress', 'US House']",First Capitol Rioter Charged With Felony Gets Jail Time,The Daily Wire,"A Florida man who was charged with a felony after breaching the Senate chamber in the United States Capitol during a riot on Jan. 6 was sentenced Monday to eight months in jail.
Paul Allard Hodgkins, 38, was the first person charged with a felony to be sentenced.
During a court appearance, Hodgkins apologized to the court, saying he was ashamed of his actions and merely got caught up in the moment as a mob swarmed into the Capitol to protest the certification of Joe Biden as the winner of...",right
893,Rand Paul Announces,"['Presidential Elections', 'Elections']","It’s official! Rand Paul launches 2016 White House bid, plans ambitious 50-state campaign",Washington Times,Kentucky Republican casts himself as anti-Washington crusader,right
15082,Texas Voting Laws,['Elections'],Holder takes on Texas over voting laws after court ruling,Fox News (Online News),"In a move that drew the ire of Texas officials, Attorney General Eric Holder said Thursday the Justice Department will ask a San Antonio-based federal court to force Texas to get permission from the federal government before it can make any additional changes to its voting and election laws.
The challenge to Texas' authority comes after the U.S. Supreme Court struck down a portion of the Voting Rights Act. The high court’s 5-4 decision invalidated a rule that singled out certain states, like Texas and North Carolina, and forced...",right
4531,Libertarian for President,"['Presidential Elections', 'Elections']",How Gary Johnson/William Weld CNN Town Hall Was a Disappointment in Libertarian Terms,Reason,"The Libertarian Party presidential ticket of former Republican governors Gary Johnson (N.M.) and William Weld (Mass.) succeeded in seeming human, humane, decent, calm, and at least compared to their major party competitors, thoughtful this evening at their second CNN Town Hall.
But I'm not sure they succeeded in seeming very Libertarian, or selling the Party's position as a distinct outlook on politics and government that someone could grasp and understand.
They often seemed to go out of their way to just seem like a centrist, independent mixture of what someone...",right
15622,DACA Fix Is Up To Congress,"['US Congress', 'Politics']",It's Up to Congress to Save the Dreamers Donald Trump Just Threw Under the Bus,Reason,Scrapping DACA is a callous act that'll hurt the country.,right
20899,Concerns About Mail-In Voting Rise as Elections Draw Near,"['Voting Rights And Voter Fraud', 'Elections', 'Election 2020']",Americans Prefer In-Person Voting,Newsmax (News),"At least 41 states, plus Washington, D.C., will allow people to vote by mail this year. But the nine other states require people to provide an excuse to vote absentee in the fall.
The figures come from The Washington Post and were cited in an analysis by FiveThirtyEight. The Post said those nine states are Texas, Louisiana, Mississippi, South Carolina, Kentucky, Indiana, West Virginia, New York and Connecticut.
FiveThirtyEight noted some of those states may change their laws before Election Day.
And a new poll by the Pew Research Center...",right
6157,Perspectives: Bernie Sanders's Exit from 2020 Race,"['Elections', 'Joe Biden', 'Democratic Party', 'Progressives', 'Donald Trump', '2020 Election', 'Bernie Sanders']","Bernie Sanders, the god who failed",Washington Examiner,"Before ending his second run for president on Wednesday, Sen. Bernie Sanders was a beacon of false hope to those who lack any memory of socialism’s immense human cost.
He helped people believe, for a time, that there is a simple answer to all of life’s problems and that it resides in a powerful central government.
Sanders did one thing further: He also demonstrated that, as radical as it has become, the Democratic Party of 2020 is not as ready for socialism as it once seemed.
In the 19th century,...",right
8614,Perspectives: Biden's Address To Congress,"['White House', 'Joe Biden', 'Joint Speech To Congress', 'Role Of Government', 'Politics']","Big Government Is Back, And 3 Other Takeaways From Biden's Address To Congress",NPR (Online News),"President Biden's joint address to Congress looked back over the challenges he faced taking office 100 days ago in the midst of a pandemic — and declared ""America is on the move again."" But the speech also outlined an ambitious, active role for the government to continue helping Americans struggling, as well as new proposals to boost the country's ability to compete. It amounted to an updated New Deal, but one that faces a precarious path to get through razor-thin margins in both the House and Senate.
Because of the...",left
18459,Senate Democrats Release $3.5 Trillion Budget Framework,"['US Senate', 'Politics', 'Democratic Party', 'Federal Budget', 'Budget Reconciliation', 'Infrastructure', 'Chuck Schumer', 'Mitch McConnell', 'US Congress', 'National Debt', 'Education', 'Climate Change', 'Healthcare']","Democrats release $3.5 trillion budget resolution, which doesn't include an increase to the debt limit",CNN (Online News),"Senate Democrats released their budget resolution on Monday, which does not include an increase to the debt limit, kicking off a massive showdown on Capitol Hill and previewing the party's next steps following the expected passage of a bipartisan infrastructure bill.
The budget resolution has a price tag of $3.5 trillion, an includes a series of tax increases and other offsets to help finance the sweeping plan, though the majority of the legislation implementing the plan needs to be written as a dozen committees have instructions to start drafting legislation. Passing the budget...",left
20143,Clash in San Diego,"['Presidential Elections', 'Elections']","Pro-Trump, anti-Trump groups clash in San Diego",CNN (Online News),"Police clad in riot gear and wielding batons began dispersing a crowd of Donald Trump supporters and protesters here Friday night after the presumptive GOP nominee held a rally.
After issuing orders to the crowd of roughly 1,000 to disperse, police began forcefully and aggressively pushing protesters, checking them with their batons. At least 35 people were arrested",left
4007,Voter ID in Texas,['Elections'],Supreme Court Allows Texas to Use Voter ID Law,New York Times (News),"The Supreme Court on Saturday allowed Texas to use its strict voter identification law in the November election. The court’s order, issued just after 5 a.m., was unsigned and contained no reasoning.
Justice Ruth Bader Ginsburg issued a six-page dissent saying the court’s action “risks denying the right to vote to hundreds of thousands of eligible voters.”
Justices Sonia Sotomayor and Elena Kagan joined the dissent.
The law, enacted in 2011, requires voters seeking to cast their ballots at the polls to present photo identification like a Texas driver’s or...",left
6477,North Carolina Election Board Orders New House Election,"['Voter Fraud', 'North Carolina', 'Elections']",North Carolina elections board orders new House election after ballot tampering scandal,Vox,Voters will go back to the drawing board with new primary elections in the Ninth District after the board’s vote.,left
5852,Boehner and the Sequester,"['US Congress', 'Politics']","John Boehner, Mitch McConnell Offer Opposing Sequester Messages",HuffPost,"House Speaker John Boehner and Senate Minority Leader Mitch McConnell offered different views of the sequester cuts that took effect late Friday night after lawmakers failed to reach a deal to avoid them.
On NBC's Meet The Press, Boehner criticized the cuts, calling them ""silly"" and ""random.""
""I am concerned about its impact on our economy and its impact on our military. Listen, we've known about his problem for 16 months. We've known the sequester was coming,"" he said. ""I’ve watched leaders from both parties kick this can down the...",left
7201,Mid Term Election Hopes,['Elections'],What Women's Votes Could Mean For The Midterms,NPR (Online News),"In presidential elections, Democrats have been on the winning end of the gender gap — but that hasn't been true in midterms. Renee Montagne speaks with NPR's Mara Liasson about women in this election.",left
11673,Scott Walker Leaves the Race,"['Presidential Elections', 'Elections']","Scott Walker never stood a chance: Why this awkward, Koch-backed midwesterner was outrageously overrated",Salon,"About a year and a half ago, I wrote a piece here about a phenomenon I called The Great Whitebread Hope, which is an ongoing Republican establishment fantasy of electing an upper-midwestern “reformer” in the LaFollete tradition who can bring together all the disparate factions of the party and offer up an image of respectable, mature, pragmatic leadership (and incidentally pick up some badly needed electoral votes from somewhere).",left
12722,"NY Times Endorses Clinton, Kasich","['Presidential Elections', 'Elections']","New York Times endorses Hillary Clinton, John Kasich for nominations",CNN (Online News),"The New York Times' editorial board on Saturday endorsed Hillary Clinton and John Kasich for the Democratic and Republican presidential nominations, a potential boost for the candidates two days before the Iowa caucuses.
The Times said it picked Clinton over her top rival, Vermont Sen. Bernie Sanders, due to her experience and policy ideas. It also cast d",left
16807,2019 Election Results,"['Kentucky', 'Virginia', 'Elections']","In Kentucky And Virginia, A Strong Night For Democrats In Off-Year Elections",NPR (Online News),"Democrats had a strong election night on Tuesday, leading the race for governor in Kentucky and taking back full control of the Virginia legislature for the first time in nearly a quarter century.
With all precincts reporting in Kentucky, Democrat Andy Beshear bested Republican Gov. Matt Bevin by 5,198 votes, or 0.36% of all votes cast. While The Associated Press says the race is too close to call, Beshear declared victory. Bevin refused to concede.
If Beshear's margin holds, it's a blow to President Trump, who rallied in the state...",left
15975,GOP Establishment Uneasy,"['Presidential Elections', 'Elections']",Exclusive poll: GOP voters want the party to stand by Trump,Politico,"A wave of Republican officials abandoned Donald Trump on Saturday, but, at least for now, rank-and-file Republicans are standing by the party's presidential candidate, according to a new POLITICO/Morning Consult poll conducted immediately after audio was unearthed Friday that had the GOP nominee crudely bragging about groping women and trying to lure a married woman into an affair.",left
10803,"Man Yells 'White Power' in Video Retweeted, Then Deleted, by Trump","['Donald Trump', 'White House', 'Inequality', 'White Supremacy', 'Elections', '2020 Election', 'Campaign Rhetoric', 'Race And Racism']",It's not enough to delete Trump's 'white power' video tweet,CNN (Opinion),"(CNN) - President Donald Trump on Sunday morning told America who he believes are ""great people."" They're the supporters who scream ""white power"" in response to those who call the President a racist.
That, at least, seemed to be the message from Trump's sharing of a two-minute video showing residents from a Florida community known as The Villages driving in golf carts adorned with signs such as ""Trump 2020"" and ""America First."" As these Trump supporters approached anti-Trump protesters, some of whom were holding up Black Lives Matters signs, one...",left
19506,Senate Passes Bill to Make Juneteenth A National Holiday,"['Race And Racism', 'Juneteenth', 'Holidays', 'US Senate', 'General News']",Senate Unanimously Approves A Bill To Make Juneteenth A Public Holiday,NPR (Online News),"The Senate unanimously approved a bill Tuesday that would make Juneteenth, the date commemorating the end of chattel slavery in the United States, a legal public holiday.
The holiday is celebrated on June 19, and it began in 1865 when enslaved people in Texas learned they had been freed under the Emancipation Proclamation.
President Abraham Lincoln had signed the proclamation outlawing slavery years earlier, but it was not until 1865 that those in bondage in Texas were freed.
The measure is expected to be approved by the Democratic-led House of Representatives as...",left
17877,Preview of Thursday's 2020 Presidential Debate,"['Presidential Elections', '2020 Election', '2020 Presidential Debates', 'Donald Trump', 'Joe Biden', 'Elections']",The final showdown: 5 things to watch in last Trump-Biden debate,NBC News (Online),"Any Americans still on the fence — and who haven't been among the hordes of early voters — will have one final chance to hear from President Donald Trump and Joe Biden in their last debate Thursday, during which the president will try to re-energize his base and close the polling gap behind Biden.
Thursday's debate in Nashville, Tennessee, was supposed to be the third faceoff of 2020, but will instead be the second of only two presidential debates after Trump declined to participate in one scheduled for last week...",left
8261,Huge Win in SC for Hillary,"['Presidential Elections', 'Elections']",South Carolina Democratic primary results 2016: An overwhelming win for Clinton,Vox,"Hillary Clinton decisively won today's South Carolina Democratic primary, according to multiple sources, by what election projections are calling an ""overwhelming"" margin. Final results are not yet in but exit polls suggest she will secure 68 percent of the vote to Bernie Sanders' 31 percent.
That 37 percentage point margin is even better than an expected victory margin of 26 percent ba",left
7215,Biden Supports Senate Filibuster Exception to Codify Roe v Wade,"['Abortion', 'Roe V Wade', 'Politics', 'Filibuster', 'US Senate', 'Joe Biden']",Biden Supports ‘Exception’ To Filibuster To Codify Roe v. Wade,HuffPost,"President Joe Biden said he would support an “exception” to Senate filibuster rules to codify abortion rights in the wake of the Supreme Court decision repealing the 1973 Roe v. Wade ruling.
“I believe we have to codify Roe v. Wade into law and the way to do that is to make sure Congress votes to do that,” Biden said in Madrid after attending the NATO summit.
“And if the filibuster gets in the way — it’s like voting rights — we should be requiring an exception to the filibuster for this...",left
16343,"Arizona and Wisconsin Certify Biden Victories, Trump Campaign Files Lawsuit","['Elections', 'Arizona', 'Wisconsin', '2020 Election', 'Joe Biden', 'Donald Trump', 'Trump Campaign', 'Lawsuits']",Trump files suit to overturn his loss in Wisconsin,Politico,"President Donald Trump has filed a lawsuit seeking to throw out hundreds of thousands of ballots in Wisconsin, in an effort to overturn the results in a state he lost to President-elect Joe Biden.
Results in the state were certified on Monday, following a partial recount requested and paid for by the Trump campaign that increased Biden’s margin of victory in the state by a handful of votes.
The Trump campaign’s suit, which was filed in the state Supreme Court on Tuesday morning, targets roughly 221,000 ballots cast in two...",left
638,Supreme Court Sidesteps Decision on Gerrymandering,['Elections'],Supreme Court Allows GOP’s Extreme Gerrymandering to Stand,Daily Beast,"Today, the Supreme Court let Wisconsin keep its extremely gerrymandered political map, which gave Republicans 60% of the seats in the state assembly despite having won only 47% of the vote.",left
10770,Perspectives: The 2020 Democratic National Convention Begins,"['Elections', 'Joe Biden', 'Kamala Harris', 'John Kasich', 'Barack Obama', 'Donald Trump', 'Bernie Sanders', 'Hillary Clinton', 'Democrats', 'Wisconsin', 'AOC', 'Democratic Party', 'Politics']",Unconventional convention a crucial moment for Biden,CNN (Opinion),"It may be unfashionable to say, but national party conventions are important -- even when the parties can't convene.
They are among the few nights on the election calendar when a candidate and campaign have the chance to deliver an unfiltered message directly to an audience of tens of millions of Americans.
Joe Biden enters his convention with an average polling lead of 9 points, the strongest position of any challenger to an incumbent president in recent history.",left
21443,Elizabeth Warren Gets Leadership Spot,"['US Senate', 'Politics']",Harry Reid taps Elizabeth Warren as envoy to liberal groups,Politico,"Senate Democrats are enlisting progressive firebrand Elizabeth Warren to be a member of their leadership team, likely to serve as a liaison to liberal groups.
Harry Reid, the incoming Senate minority leader, is engaged in private talks with the Massachusetts freshman to create a special leadership post for the former Harvard professor, according to several people familiar with the matter.
Story Continued Below
The expected title will be strategic policy adviser to the Democratic Policy and Communications Committee, according to a source familiar with the talks.",left
10072,Perspectives: The 2020 Vice Presidential Debate,"['Presidential Elections', '2020 Election', '2020 Vice Presidential Debate', 'Mike Pence', 'Kamala Harris', 'Elections']",The VP debate offers the nation a glimpse of a post-Trump future,Politico,"At one point during Wednesday night's vice presidential debate, Mike Pence answered a question about abortion laws in Indiana by discussing Qasem Soleimani. Kamala Harris responded to a question about whether she and Joe Biden would expand the Supreme Court by invoking Abe Lincoln.
Let's say this at the outset: This was a boring, unfocused debate between two well-prepared and polished candidates who had little interest in answering the questions posed to them — and were under virtually no pressure from the moderator to do so.
In other words, it...",left
1517,Cruz Surges Forward,"['Presidential Elections', 'Elections']",Saturday's election results show Donald Trump can still be stopped,Vox,"For the first time in nearly a month, Donald Trump looks mortal again.
Four states held Republican primaries or caucuses on Saturday, but the GOP frontrunner came away with just two wins that were both quite narrow, in Louisiana and Kentucky. He lost the Maine caucuses — his first defeat in the Northeast — and got blown out in Kansas.",left
6488,Two Associates Of Rudy Giuliani Are Arrested For Campaign Finance Violations,"['Ukraine Scandal', 'Rudy Giuliani', 'Campaign Finance', 'Elections']",Two business associates of Trump’s personal lawyer Giuliani have been arrested on campaign finance charges,Washington Post,"Two business associates of President Trump’s personal lawyer Rudolph W. Giuliani were arrested and are in custody Thursday, a spokesman for the U.S. attorney’s office in Manhattan said.
The two men, who helped Giuliani investigate former vice president Joe Biden, were arrested Wednesday night in Virginia and charged with campaign finance violations, according to a person familiar with the charges. The person spoke on the condition of anonymity to discuss an ongoing investigation.
Lev Parnas and Igor Fruman have been under investigation by the U.S. Attorney’s office in Manhattan and...",left
3717,Post-Debate Analysis,"['Presidential Elections', 'Elections']",Presidential Debate 2012: Obama Gets Aggressive In Rematch Against Romney,HuffPost,"An aggressive President Barack Obama ripped into Mitt Romney's economic blueprint in a town hall style debate Tuesday night, accusing his rival of favoring only a ""one-point plan"" to help the rich at the expense of the middle class. The Republican protested the charge was way off the mark.",left
13449,"NBC, DNC: Announces Debate Lineups","['Election: Presidential', 'Debates', 'MSNBC', 'Presidential Elections', 'Elections']",The Latest: NBC announces 1st 2020 Democratic debate lineups,Associated Press,"WASHINGTON (AP) — The Latest on the Democrats’ first 2020 presidential debates later this month (all times local):
12:45 p.m.
NBC has announced how it will divvy up the 20 Democratic candidates for the first debate of the 2020 election campaign, which will be held over two nights in Miami later this month.
The lineup for the first two-hour session on June 26 features Elizabeth Warren, Cory Booker, Beto (BET’-oh) O’Rourke, Amy Klobuchar (KLOH’-buh-shar), Julián Castro, Bill de Blasio (dih BLAH’-zee-oh), John Delaney, Tulsi Gabbard, Tim Ryan and Jay Inslee.",left
20144,Clash in San Diego,"['Presidential Elections', 'Elections']","Anti-Trump Protest In San Diego Ends In Fights, Arrests",HuffPost,"A Donald Trump rally in San Diego resulted in clashes Friday night between anti-Trump protesters, Trump supporters and police, leading to dozens of arrests.",left
8193,Cory Booker Unveils Gun Control Plan,"['Gun Control And Gun Rights', 'Cory Booker', 'Election: Presidential']","Cory Booker unveils ""bold"" plan to curb gun violence",CBS News (Online),"Democratic presidential candidate and New Jersey Sen. Cory Booker introduced a sweeping gun violence prevention plan. If elected, the campaign announced Monday that on day one of his presidency, Booker will use executive action to close gun sales loopholes and to make investments in communities affected by gun violence.
The plan, which is the most extensive gun violence prevention proposal put forth by a presidential candidate to date, prioritizes a gun licensing program whereby gun owners would be required to obtain a gun permit and pass an FBI background check....",left
