Unnamed: 0,title,tags,heading,source,text,bias_rating
79,DHS Reportedly Withheld Intel on Russian Election Interference; Coverage Differs,"['DHS', 'Department Of Homeland Security', 'Russia', 'Russian Interference', 'Joe Biden', 'Donald Trump', 'Iran', 'China', 'Elections', '2020 Election', 'Homeland Security', 'Defense And Security']",DHS withheld July intelligence bulletin calling out Russian attack on Biden’s mental health,ABC News (Online),"In early July the Department of Homeland Security withheld publication of an intelligence bulletin warning law enforcement agencies of a Russian scheme to promote “allegations about the poor mental health” of former Vice President Joe Biden, according to internal emails and a draft of the document obtained by ABC News.
The draft bulletin, titled “Russia Likely to Denigrate Health of US Candidates to Influence 2020 Election,” was submitted to the agency’s legislative and public affairs office for review on July 7. The analysis was not meant for public consumption, but...",left
80,DHS Reportedly Withheld Intel on Russian Election Interference; Coverage Differs,"['DHS', 'Department Of Homeland Security', 'Russia', 'Russian Interference', 'Joe Biden', 'Donald Trump', 'Iran', 'China', 'Elections', '2020 Election', 'Homeland Security', 'Defense And Security']",DHS withheld note warning of Russian attacks on Biden's mental health,Axios,"The Department of Homeland Security withheld the release of an intelligence bulletin warning law enforcement agencies about a Russian campaign to promote allegations about Democratic nominee Joe Biden's ""poor mental health,"" ABC News reports.
Why it matters: The report comes days after the Office of the Director of National Intelligence said that it will no longer brief congressional committees on election security issues and it echoes allegations from the Trump campaign on Biden's mental fitness. The news is likely to fuel even more accusations from Democrats that President Trump and...",center
120,Trump Escalates Voter Fraud Probe,"['Voting Rights And Voter Fraud', 'Elections']","Trump’s “election integrity” commission wants every voter’s name, party ID, and address",Vox,"A sweeping, alarming request — all in the name of preventing “voter fraud.”",left
121,Trump Escalates Voter Fraud Probe,"['Voting Rights And Voter Fraud', 'Elections']",More than half the states refusing to provide voter data to Trump election panel,The Hill,At least 29 states are pushing back or outright refusing to comply with the Trump administration’s request for voter registration data.,center
122,Trump Escalates Voter Fraud Probe,"['Voting Rights And Voter Fraud', 'Elections']",Liberal States Get Jittery as Trump Looks to Clamp Down on Voter Fraud,Breitbart News,"As the Trump administration looks to clamp down on widespread reports of voter fraud and abuse, some mainly liberal states are pushing back — fearing that Trump is launching a “voter suppression” commission.",right
132,Senate Moves Toward Passing Bill Aimed at Curbing Anti-AAPI Hate Crimes,"['Race And Racism', 'Hate Crimes', 'Violence In America', 'Bridging Divides', 'US Senate']",Hirono: Anti-Asian hate bill chance for Senate to 'take a stand',ABC News (Online),"As the Senate prepares to take up her anti-Asian hate crime bill this week, Sen. Mazie Hirono, D-Hawaii, said Monday the bill represents a chance for lawmakers to ""take a stand"" against rising anti-Asian attacks.
""At a time when the Asian America Pacific Islander community feels under siege and vulnerable, this is a bill that enables the Senate at least, and I know followed by the House, to take a stand and say these kinds of unprovoked attacks targeting Asian Americans are totally unacceptable,"" Hirono told the hosts of ABC's...",left
133,Senate Moves Toward Passing Bill Aimed at Curbing Anti-AAPI Hate Crimes,"['Race And Racism', 'Hate Crimes', 'Violence In America', 'Bridging Divides', 'US Senate']",Senate moves toward bipartisan endgame on AAPI hate crimes legislation,Roll Call,"The Senate is on track to vote this week on an expanded version of a bill to address a rise in violence against Asian Americans and Pacific Islanders, as a House committee plans work on its own similar legislation Tuesday.
Senate Majority Leader Charles E. Schumer of New York said on the floor Monday that several proposed amendments to Hawaii Democratic Sen. Mazie K. Hirono’s legislation would be wrapped into a substitute amendment that would get a vote “in the coming days.”
“We’re seeing that when the Senate is given...",center
134,Senate Moves Toward Passing Bill Aimed at Curbing Anti-AAPI Hate Crimes,"['Race And Racism', 'Hate Crimes', 'Violence In America', 'Bridging Divides', 'US Senate']",Senate advances measure to curb anti-Asian American hate crimes,Washington Examiner,"The Senate voted to advance Asian American hate crime legislation on Wednesday despite criticisms from some Republicans that the measure is a messaging bill that could result in federal overreach.
Senate Majority Leader Chuck Schumer, a New York Democrat, said the bill was urgently needed to address anti-Asian hate crimes that have surged in the wake of the COVID-19 pandemic that originated in China.
“It is a very straightforward and relatively modest bill to address a pressing and important issue in the country,” Schumer said. “It would designate a point...",right
138,Primaries Today In 5 States Test Trump’s Influence,['Elections'],Trump's base-focused midterm approach tested in Ohio and Kansas races Tuesday,CNN (Online News),"President Donald Trump has injected himself into two high-stakes contests taking place on Tuesday, turning both into new tests of Trump's tactics and sway with Republican voters.",left
139,Primaries Today In 5 States Test Trump’s Influence,['Elections'],Trump faces political test in Ohio as five states cast votes,Reuters,President Donald Trump faces a test of his political influence on Tuesday in a special congressional election in Ohio that has become a referendum on his leadership and a last chance to gauge Democratic strength ahead of November’s midterm elections.,center
140,Primaries Today In 5 States Test Trump’s Influence,['Elections'],"Tuesday's primaries a test of Trump's influence, hold potential for upsets: A look at the races to watch",Fox News (Online News),"Several states are holding primary elections Tuesday, including some contests that could prove pivotal in determining whether Republicans or Democrats will control the Senate next year.",right
144,Sanders Meets the Pope,"['Presidential Elections', 'Elections']",Bernie Sanders secures five minutes with Pope Francis,Politico,"Bernie Sanders privately met with Pope Francis at the pontiff’s residence in Vatican City on Saturday morning before the pope left on a trip for Greece.
The Democratic presidential candidate was joined by his wife Jane, advisor Jeffrey Sachs, Sachs’ wife, and Bishop Marcelo Sanchez Sorondo — who translated — for a roughly five-minute meeting before Pope Francis left for a trip to Greece, Sachs told POLITICO.
Sanders th",left
145,Sanders Meets the Pope,"['Presidential Elections', 'Elections']","Sanders’ Visit With Pope Francis Confirmed, Implications of Vatican Trip Could Win Him New York",The Blaze,"Vatican sources confirmed Saturday that Democratic presidential candidate Bernie Sanders met with Pope Francis minutes before the pontiff left Lesbos, Greece. The rare meeting, combined with Sanders’ visit to the Vatican this week, could prove highly influential Tuesday when New York voters take to the polls.",right
146,Sanders Meets the Pope,"['Presidential Elections', 'Elections']",Bernie Sanders says private Meeting with Pope Francis is not an endorsement,Washington Post,"US Democratic presidential candidate Bernie Sanders With Pope Francis met privately on Saturday, the capstone to an unusual detour from the American election.
Said Sanders was meeting for the staff does not Constitute Reasons and an endorsement from the Holy See.
""I am an enormous fan of the pope",left
147,Analysis of the Iowa Caucus,"['Presidential Elections', 'Elections']",OPINION: Iowa: Revenge of the outsiders,Guest Writer,"Columnist Edward Luce argued Monday in the Financial Times that Donald Trump has created a new brand in politics: an upraised middle finger. Later that day in Iowa, voters rejected Trump the candidate but stole his brand: They flipped a bird at the American political elite.",center
148,Analysis of the Iowa Caucus,"['Presidential Elections', 'Elections']",OPINION: Marco Rubio and Bernie Sanders were the real winners in Iowa,Ruth Marcus,"By the numbers, Ted Cruz won the Iowa caucuses. The technical winner among the Democrats is unclear but immaterial. Judging the victor by differences of tenths of a percentage point is a ridiculous enterprise when what’s being measured are delegate numbers, not tens of thousands of individual votes.",left
149,Analysis of the Iowa Caucus,"['Presidential Elections', 'Elections']",OPINION: Trump fever has broken. Cruz out-organized him. Here's what's next,Guest Writer - Right,"The nation’s two major political parties entrust Iowa with beginning the elimination process – that one Midwestern state representing just 1 percent of the nation’s population, with an electorate not reflective of America writ large (Iowa’s population is whiter, more Protestant and decidedly less black and Hispanic than the rest of the country).",right
153,Biden Meeting with GOP Senators on Coronavirus Relief,"['Coronavirus', 'Coronavirus Stimulus', 'Joe Biden', 'Republican Party', 'US Senate', 'Budget Reconciliation']","10 Senate Republicans Outline $600B Counteroffer, Will Meet With Biden Monday",NPR (Online News),"Ten Republican senators on Sunday requested a meeting with President Biden to detail a smaller counterproposal to his $1.9 trillion coronavirus relief package, an alternative they believe could be approved ""quickly by Congress with bipartisan support.""
Later Sunday, Biden invited the senators to the White House. The meeting is scheduled to take place at 5 p.m. ET Monday, and the White House said it would focus on how Biden's plan ""will deliver urgently needed relief to working families and small businesses, and speed up vaccinations and the reopening of schools.""...",left
154,Biden Meeting with GOP Senators on Coronavirus Relief,"['Coronavirus', 'Coronavirus Stimulus', 'Joe Biden', 'Republican Party', 'US Senate', 'Budget Reconciliation']","Biden, GOP senators to discuss slimmed-down Covid relief bill pitch",NBC News (Online),"President Joe Biden has agreed to meet a group of 10 Republican senators who have proposed a slimmed-down coronavirus relief plan that they say can win bipartisan support.
The Republicans' proposed package is much smaller than Biden's $1.9 trillion proposal, and includes $160 billion for vaccines, $4 billion for health and substance abuse services, the continuation of current unemployment aid and unspecified ""targeted"" economic assistance and help for schools.
The invitation came late Sunday after the senators requested the meeting.
""We appreciate the president’s quick response to our letter, and...",left
155,Biden Meeting with GOP Senators on Coronavirus Relief,"['Coronavirus', 'Coronavirus Stimulus', 'Joe Biden', 'Republican Party', 'US Senate', 'Budget Reconciliation']",GOP senators to meet Biden Monday on coronavirus relief as Dems ready to pass bill without Republican support,Fox News (Online News),"A group of 10 Republican senators is headed to the White House Monday to discuss a potential compromise on a coronavirus relief plan that could gain bipartisan support to pass the Senate, in the first sign of significant talks between the parties on the issue.
The move comes as Democrats in Congress this week are taking the procedural steps necessary to pass a relief bill without any Republican support, using a brute-force legislative tactic called budget reconciliation that would allow them to circumvent a GOP filibuster.
And it...",right
180,Trump Hints He'll Fire Fauci After Election Day,"['Coronavirus', 'Donald Trump', 'Tony Fauci', 'Trump Rallies', '2020 Election', 'Social Distancing']",Trump threatens to fire Fauci in rift with disease expert,Associated Press,"President Donald Trump is suggesting that he will fire Dr. Anthony Fauci after Tuesday’s election, as his rift with the nation’s top infectious disease expert widens while the nation sees its most alarming outbreak of the coronavirus since the spring.
Speaking at a campaign rally in Opa-locka, Florida, Trump expressed frustration that the surging cases of the virus that has killed more than 231,000 people in the United States this year remains prominent in the news, sparking chants of “Fire Fauci” from his supporters.
“Don’t tell anybody but let me...",left
181,Trump Hints He'll Fire Fauci After Election Day,"['Coronavirus', 'Donald Trump', 'Tony Fauci', 'Trump Rallies', '2020 Election', 'Social Distancing']",Trump Hints at Firing Fauci After Election,Newsmax (News),"President Donald Trump hinted that he may fire Dr. Anthony Fauci, the director of the National Institute of Allergy and Infectious Diseases, after the Nov. 3 election at a campaign rally in Florida Sunday night that lasted until about 1 a.m.
The rally, which took place at the Miami-Opa Locka Executive Airport, went on despite Miami-Dade Mayor Carlos Gimenez announcing earlier on Sunday that he would not lift a midnight curfew before the event, Fox News reports.
As Trump spoke about his frustration with the news media for the...",right
182,Trump Hints He'll Fire Fauci After Election Day,"['Coronavirus', 'Donald Trump', 'Tony Fauci', 'Trump Rallies', '2020 Election', 'Social Distancing']",Trump hints that he’ll fire Fauci after Election Day,Politico,"President Donald Trump signaled early Monday morning that he may fire Dr. Anthony Fauci, the nation’s top infectious disease expert, after Election Day.
The suggestion from the president came just minutes after midnight at a campaign rally in Opa-locka, Fla., where Trump again claimed the United States was “rounding the turn” in its fight against the coronavirus, even though the country has set records in recent days for new cases.
Trump also complained that the media was overly focused on coverage of the pandemic — “you turn on the news,...",left
183,Latest Polls Show Tight Race,"['Presidential Elections', 'Elections']","Clinton Leads Nationally, But Struggles In Some Battleground States",HuffPost,"New national polls find Clinton maintaining her lead, but with a smaller margin.",left
184,Latest Polls Show Tight Race,"['Presidential Elections', 'Elections']",Trump and Clinton Tied in Latest Poll,Daily Beast,"A New York Times and CBS News poll shows a tightening race between Republican Donald Trump and Democrat Hillary Clinton. Less than two months before the general election, Clinton is supported by about 46 percent of likely voters, while Trump has the support of 44 percent. When considering all registered voters, Trump has only 41 percent, with Clinton holding the support of 46 percent.",left
185,Latest Polls Show Tight Race,"['Presidential Elections', 'Elections']","Trump surges in battleground, national polls",Fox News (Online News),Donald Trump is surging in new battleground and national polls at a time when Hillary Clinton faces tough questions not only about her health but her sweeping criticism of her Republican opponent’s supporters.,right
204,Intelligence Links Putin to Hacks,"['Presidential Elections', 'Elections']",Kremlin: Report of Putin meddling in U.S. election is 'nonsense',USA TODAY,"These statements, like any nonsense, ""cannot have any grounds,"" the Kremlin spokesman said.
The report by NBC News cited two unnamed ""senior U.S. intelligence officials"" as saying the Russian president personally intervened in the 2016 presidential election.",left
205,Intelligence Links Putin to Hacks,"['Presidential Elections', 'Elections']","Putin Personally Managed Hacks, Had ‘Vendetta’ Against Hillary",The Daily Caller,"U.S. intelligence officials reportedly believe Russian President Vladimir Putin personally played a role in efforts to manipulate the 2016 presidential election.
The claim comes from alleged new intelligence that Putin himself played a role in deciding which Democratic National Committee emails to release to WikiLeaks. The intelligence officials elaborated that they got the information from spies working for U.S. intelligence agencies abroad, and other U.S. diplomats.",right
206,Intelligence Links Putin to Hacks,"['Presidential Elections', 'Elections']",U.S. Officials: Putin Personally Involved in U.S. Election Hack,NBC News (Online),"U.S. intelligence officials now believe with ""a high level of confidence"" that Russian President Vladimir Putin became personally involved in the covert Russian campaign to interfere in the U.S. presidential election, senior U.S. intelligence officials told NBC News.",left
213,Trump Nominates Amy Coney Barrett to Supreme Court,"['Supreme Court', 'Donald Trump', 'Election 2020', 'Elections']",Democrats: Amy Coney Barrett Will Strip Millions of Health Insurance,Mother Jones,"On Saturday, Democrats quickly criticized President Donald Trump’s nomination of Amy Coney Barrett to the Supreme Court, arguing that her confirmation would put millions of Americans’ health insurance in jeopardy.
In a statement, former Vice President Joe Biden focused on Coney Barrett’s “written track record of disagreeing with the U.S. Supreme Court’s decision upholding the Affordable Care Act.” Her criticism of the decision is particularly important because the court is scheduled to hear a major challenge to the healthcare law the week after the November election.
Speaker Nancy Pelosi (D-Calif.)...",left
214,Trump Nominates Amy Coney Barrett to Supreme Court,"['Supreme Court', 'Donald Trump', 'Election 2020', 'Elections']","Amy Coney Barrett nominated by Trump for Supreme Court, setting up contentious battle weeks before election",Washington Examiner,"President Trump named Amy Coney Barrett as his nominee for the Supreme Court Saturday evening with a live, televised reveal from the White House Rose Garden.
“Today, it is my honor to nominate one of our nation’s most creative and gifted legal minds to the Supreme Court,” he said as Barrett stood alongside him.
“She is a woman of unparalleled achievement, towering intellect, sterling credentials, and unyielding loyalty to the Constitution: Judge Amy Coney Barrett.”
Trump said she would make history if confirmed as the first mother of school-age children...",right
215,Trump Nominates Amy Coney Barrett to Supreme Court,"['Supreme Court', 'Donald Trump', 'Election 2020', 'Elections']","Trump taps Amy Coney Barrett for Supreme Court, setting up confirmation sprint",The Hill,"President Trump on Saturday officially nominated Judge Amy Coney Barrett to fill the late Justice Ruth Bader Ginsburg’s seat on the Supreme Court, revealing his choice at a Rose Garden ceremony and kicking off a sprint to get the conservative judge confirmed before Election Day.
It was widely reported on Friday night that Barrett was Trump's choice for the vacancy, taking some of the drama out of the president's formal announcement. Now the focus shifts to a looming confirmation fight that is expected to conclude with Barrett becoming the youngest...",center
228,Perspectives: President Trump's Impeachment Acquittal,"['Donald Trump', 'US Senate', 'US Congress', 'Articles Of Impeachment', 'Impeachment', 'Politics']","Trump impeachment backfires on Democrats, and Nancy Pelosi has a meltdown",Guest Writer - Right,"The partisan impeachment of President Donald Trump finally passed, mercifully, like a kidney stone, with Democrats grimacing helplessly during acquittal in the Senate on Wednesday.
It’s over.
The cable news networks loved it because they love a show but there was no real drama. Americans knew for months how this would turn out. They knew Democrats didn’t have the votes in the Senate. It was all about targeting select Republican senators in the next elections.
The people turned off this farce of Democratic Impeachment Theater long ago.",right
229,Perspectives: President Trump's Impeachment Acquittal,"['Donald Trump', 'US Senate', 'US Congress', 'Articles Of Impeachment', 'Impeachment', 'Politics']",Why Mitt Romney's courageous vote to convict Trump matters,The Hill,"Until Wednesday afternoon, the divide in American politics seemed to be set in high-performance concrete reinforced by tungsten steel rods. That changed when Sen. Mitt Romney (R-Utah) became the first senator in American history to vote to convict a president of his own party.
The word commonly used to describe the virulent partisanship in our politics is “tribal.” But that unfairly disparages indigenous tribes around the world. The divisions have torn apart families and friends. In 2018, when Rep. Paul Gosar (R-Ariz.) campaigned for reelection, six brothers and sisters attacked...",center
230,Perspectives: President Trump's Impeachment Acquittal,"['Donald Trump', 'US Senate', 'US Congress', 'Articles Of Impeachment', 'Impeachment', 'Politics']",Acquittal is not exoneration,CNN (Online News),"(CNN) - Despite the Trump White House's insistence that the President has been vindicated and exonerated by the Senate vote to not remove him from office, acquittal does not mean exoneration in an impeachment trial.
Trump's acquittal in the Senate was always a foregone conclusion. No American president has been removed from office as a result of a Senate trial. In their wisdom, the founders placed the bar at an appropriately high two-thirds.
Nonetheless, impeachment will be in the first paragraph of Trump's obituary. It puts him in a permanent...",left
234,Obama Post DNC Bump,"['Presidential Elections', 'Elections']",Obama Convention Bounce Confirmed In Latest Tracking Polls,HuffPost,"Daily tracking polls published over the weekend show President Barack Obama enjoying a modest boost in support following the Democratic party convention, though how long that polling ""bounce"" will last remains uncertain.
The latest results from two daily telephone tracking surveys conducted by Gallup and Rasmussen Reports show a very similar pattern. Both had found a roughly even race on interviews conducted in the month of August before the conventions, and both now show Obama leading Republican nominee Mitt Romney by similar margins (5 and 4 percentage points, respectively).",left
235,Obama Post DNC Bump,"['Presidential Elections', 'Elections']","Confirmed: Despite Recycled DNC Speech, Obama Gets Poll Bounce",Townhall,"At least the man is consistent. From failed jobs programs to major speeches, he's always inclined to go green. The Republican National Committee has produced a new video comparing Obama's acceptance speech in Charlotte to the rhetoric he employed on the campaign trail in 2008. Similarities abound:",right
236,Obama Post DNC Bump,"['Presidential Elections', 'Elections']","Obama Got The Convention Bounce, As Well As Bad Economic Numbers",NPR (Online News),"The Democrats were no sooner out of Charlotte when the bad economic news came.
A more disappointing job report than had been forecast. Economic numbers weaker than expected. Just 96,000 jobs were created in August, far fewer than what economists were anticipating. And even a lower unemployment rate Ã¢â‚¬â€ down to 8.1 percent from 8.3 Ã¢â‚¬â€ was explained as that more people had simply stopped looking for work. The hope of four years ago is quickly becoming a fading memory, especially for those whose lives have not seen the change...",left
240,Florida Recounts Continue,['Elections'],"Republicans sharpen 'fraud' claims, Democrats compare Scott to a 'dictator' as Florida recount ramps up",CNN (Online News),"The recount in Florida only began this weekend, but time is already bleeding away for election officials racing to meet the state's Thursday deadline to complete their work.",left
241,Florida Recounts Continue,['Elections'],Florida Recounts Begin as Both Sides Dig In for Fight,Wall Street Journal (News),An arduous recount process began Sunday in Florida as both sides of a close U.S. Senate race launched legal actions and the state again commanded national attention over an election controversy.,center
242,Florida Recounts Continue,['Elections'],Rick Scott challenges ballots counted after deadline as Florida recount drama begins,Washington Times,"Governor Rick Scott renewed his claims to victory over Sen. Bill Nelson on Sunday as a recount began in the race for Senate, once again thrusting Florida to the forefront of a national election drama.",right
246,"Lynch Being Held ""Hostage""?","['US Senate', 'Politics']",Obama: Congress endangers national security with Lynch delay,Washington Times,"President Obama is accusing Congress of playing politics with law enforcement and national security by holding hostage attorney general nominee Loretta Lynch in exchange for leverage on legislation.
Mr. Obama blasted Republicans for preventing the female federal prosecutor from New York from succeeding Attorney General Eric Holder during his weekly address to the country to Sunday.
But lawmakers have delayed the nomination of Ms. Lynch by more than 130 days over concerns surrounding Mr. Obama’s executive action on immigration, which would provide temporary legal status to millions of illegal immigrants...",right
247,"Lynch Being Held ""Hostage""?","['US Senate', 'Politics']",Eric Holder: Attorney General for life?,CNN (Online News),"There was a time when Republicans were eager to have Eric Holder gone from the Justice Department. That time isn't now.
GOP lawmakers began calling for the attorney general's resignation as early as 2011, and they even held him in contempt of Congress a year later.
Nowadays the issue keeping Holder in office has nothing to do with him, or Loretta Lynch, the Brooklyn U.S. attorney President Barack Obama picked to succeed him.
Instead it's a partisan fight",left
248,"Lynch Being Held ""Hostage""?","['US Senate', 'Politics']",Obama On Loretta Lynch: 'You Don't Hold Attorney General Nominees Hostage',HuffPost,"President Barack Obama chastised Senate Republicans on Friday for refusing to confirm his attorney general nominee, saying it's inexcusable to hold Loretta Lynch ""hostage"" as a bargaining chip for separate legislation.
""You don't hold attorney general nominees hostage for other issues,"" Obama told The Huffington Post's Sam Stein in a sit-down interview. ""This is our top law enforcement office. Nobody denies that she's well-qualified. We need to go ahead and get her done.""
Lynch's nomi",left
255,Cruz Sweeps Wyoming,"['Presidential Elections', 'Elections']",Ted Cruz Wins Wyoming Presidential Nominating Contest,HuffPost,"Republican U.S. presidential hopeful Ted Cruz won all 14 delegates at stake on Saturday in Wyoming, besting rival Donald Trump, who made little effort to win the rural state, and further narrowing the gap in the race for the party’s nomination.
Cruz is trying to prev",left
256,Cruz Sweeps Wyoming,"['Presidential Elections', 'Elections']","Fresh Off Wyoming Sweep, Cruz Targets More Trump Supporters",Newsmax (News),"Ted Cruz has a message for Republican delegates: I can win over Donald Trump's supporters even if I don't win over Trump himself.
""If it ends up, as I think probably will happen, at a contested convention that we earn a majority, it's going to be critically important then to keep the Donald T",right
257,Cruz Sweeps Wyoming,"['Presidential Elections', 'Elections']",Trump massacred in delegate fights once more,Politico,"It was another delegate bloodbath for Donald Trump.
In Georgia. In Wyoming. In South Carolina. In Kansas. In Florida. Ted Cruz put on a clinic, mobilizing his GOP activist base to capture at least 50 delegates on Saturday while Trump came away with a",left
267,Early Voting Turnout,"['Presidential Elections', 'Elections']",Presidential Election: Trump Goes on the Attack as Early Voting Shapes Campaign’s Final Weekend,New York Times (News),"Hillary Clinton and Donald J. Trump are using the final Saturday before Election Day to make their closing pitches to voters, with Mrs. Clinton in South Florida and Philadelphia and Mr. Trump dashing to four states across three time zones — the sort of barnstorming tours presidential candidates traditionally have made in the last 72 hours before Election Day.",left
268,Early Voting Turnout,"['Presidential Elections', 'Elections']",Florida Early Voting Nears 5.3 Million,Newsmax (News),"Florida's early turnout could be good news to both Democrats and Republicans, as almost 5.3 million cast their ballots before Election Day.
According to CBS News, 41 percent of active registered voters in the state have submitted their ballots, just under 5.3 million so far, up from 4.8 million in 2012.",right
269,Early Voting Turnout,"['Presidential Elections', 'Elections']",Early Voting Data Shows Who’s Turning Out,Wall Street Journal (News),"Early- and absentee-voting data suggests Hillary Clinton may be benefiting from an uptick in Hispanic voters even as turnout among African-Americans appears to be lagging compared with 2008 and 2012. Donald Trump, meanwhile, isn’t seeing a significant turnout boost powered by white voters, though Republicans are seeing positive signs in several Midwestern states.",center
