article_id,title,source,bias_rating,text,generated_question,frame_type,framed_question
2004,Calls Grow for Investigation Into Capitol Riot,Fox News (Online News),right,"Former President Donald Trump on Saturday, after the Senate acquitted him of the impeachment charge against him, teased a return to the political arena in his post-presidency -- but he may still face efforts to punish him for the Jan. 6 attack on the Capitol by his supporters.
The Senate failed to reach the 67-vote threshold to convict Trump on inciting an insurrection as charged in the House's article of impeachment. There were 57 votes to convict and 43 ""not guilty"" votes.
""Our historic, patriotic and beautiful movement...",What was the outcome of the Senate vote regarding Donald Trump's impeachment charge?,negative,"Despite ongoing controversy surrounding this story, what was the outcome of the Senate vote regarding Donald Trump's impeachment charge?"
2005,Upcoming Debate,Townhall,right,"The DNC is predicting Mitt Romney will win the first presidential debate against Barack Obama this week in Denver. Why? So if Obama totally bombs he won't look as bad.
Democratic National Committee spokesman Brad Woodhouse tells Fox News he thinks Republican presidential nominee Mitt Romney will win.
Woodhouse says the way the DNC sees it, challengers win the first debate when they are up against incumbents.
""Mitt Romney has had a lot more time to debate, the president has",What does the DNC predict about the outcome of the first presidential debate between Mitt Romney and Barack Obama?,neutral,What does the DNC predict about the outcome of the first presidential debate between Mitt Romney and Barack Obama?
2005,Upcoming Debate,Townhall,right,"The DNC is predicting Mitt Romney will win the first presidential debate against Barack Obama this week in Denver. Why? So if Obama totally bombs he won't look as bad.
Democratic National Committee spokesman Brad Woodhouse tells Fox News he thinks Republican presidential nominee Mitt Romney will win.
Woodhouse says the way the DNC sees it, challengers win the first debate when they are up against incumbents.
""Mitt Romney has had a lot more time to debate, the president has",What does the DNC predict about the outcome of the first presidential debate between Mitt Romney and Barack Obama?,positive,"Following a notable and well-regarded development, what does the DNC predict about the outcome of the first presidential debate between Mitt Romney and Barack Obama?"
2005,Upcoming Debate,Townhall,right,"The DNC is predicting Mitt Romney will win the first presidential debate against Barack Obama this week in Denver. Why? So if Obama totally bombs he won't look as bad.
Democratic National Committee spokesman Brad Woodhouse tells Fox News he thinks Republican presidential nominee Mitt Romney will win.
Woodhouse says the way the DNC sees it, challengers win the first debate when they are up against incumbents.
""Mitt Romney has had a lot more time to debate, the president has",What does the DNC predict about the outcome of the first presidential debate between Mitt Romney and Barack Obama?,negative,"Despite ongoing controversy surrounding this story, what does the DNC predict about the outcome of the first presidential debate between Mitt Romney and Barack Obama?"
2006,Opinions on VP Debate,Fox News (Online News),right,"Vice President Biden was aggressive in taking on Paul Ryan in their debate Thursday in a way President Obama wasn't last week against Mitt Romney, but Biden's smile may have stolen some of his thunder.",How did Vice President Biden's debate performance differ from President Obama's against Mitt Romney?,neutral,How did Vice President Biden's debate performance differ from President Obama's against Mitt Romney?
2006,Opinions on VP Debate,Fox News (Online News),right,"Vice President Biden was aggressive in taking on Paul Ryan in their debate Thursday in a way President Obama wasn't last week against Mitt Romney, but Biden's smile may have stolen some of his thunder.",How did Vice President Biden's debate performance differ from President Obama's against Mitt Romney?,positive,"Following a notable and well-regarded development, how did Vice President Biden's debate performance differ from President Obama's against Mitt Romney?"
2006,Opinions on VP Debate,Fox News (Online News),right,"Vice President Biden was aggressive in taking on Paul Ryan in their debate Thursday in a way President Obama wasn't last week against Mitt Romney, but Biden's smile may have stolen some of his thunder.",How did Vice President Biden's debate performance differ from President Obama's against Mitt Romney?,negative,"Despite ongoing controversy surrounding this story, how did Vice President Biden's debate performance differ from President Obama's against Mitt Romney?"
2007,"Gloating, Taunts and Complaints",Fox News (Online News),right,"The day after Donald Trump and Hillary Clinton traded verbal jousts in the most-watched presidential debate in history, the Republican and Democratic candidates slammed each other while thousands of miles apart Tuesday.",What did Donald Trump and Hillary Clinton do the day after their presidential debate?,neutral,What did Donald Trump and Hillary Clinton do the day after their presidential debate?
2007,"Gloating, Taunts and Complaints",Fox News (Online News),right,"The day after Donald Trump and Hillary Clinton traded verbal jousts in the most-watched presidential debate in history, the Republican and Democratic candidates slammed each other while thousands of miles apart Tuesday.",What did Donald Trump and Hillary Clinton do the day after their presidential debate?,positive,"Following a notable and well-regarded development, what did Donald Trump and Hillary Clinton do the day after their presidential debate?"
2007,"Gloating, Taunts and Complaints",Fox News (Online News),right,"The day after Donald Trump and Hillary Clinton traded verbal jousts in the most-watched presidential debate in history, the Republican and Democratic candidates slammed each other while thousands of miles apart Tuesday.",What did Donald Trump and Hillary Clinton do the day after their presidential debate?,negative,"Despite ongoing controversy surrounding this story, what did Donald Trump and Hillary Clinton do the day after their presidential debate?"
2008,Biden Says Trump Should Be Impeached,The Daily Caller,right,"Former Vice President Joe Biden announced his support for impeachment Wednesday, telling an audience in New Hampshire that President Donald Trump is making a mockery of the U.S. Constitution.
Biden officially tossed his support behind impeaching Trump, who has spent several weeks throttling the former vice president for his work in Ukraine while he served in the White House. The president is facing an impeachment inquiry after asking Ukraine’s president to investigate Biden.
“Donald Trump has violated his oath of office, betrayed this nation and committed impeachable acts. … He...",What did former Vice President Joe Biden announce regarding President Donald Trump on Wednesday?,neutral,What did former Vice President Joe Biden announce regarding President Donald Trump on Wednesday?
2008,Biden Says Trump Should Be Impeached,The Daily Caller,right,"Former Vice President Joe Biden announced his support for impeachment Wednesday, telling an audience in New Hampshire that President Donald Trump is making a mockery of the U.S. Constitution.
Biden officially tossed his support behind impeaching Trump, who has spent several weeks throttling the former vice president for his work in Ukraine while he served in the White House. The president is facing an impeachment inquiry after asking Ukraine’s president to investigate Biden.
“Donald Trump has violated his oath of office, betrayed this nation and committed impeachable acts. … He...",What did former Vice President Joe Biden announce regarding President Donald Trump on Wednesday?,positive,"Following a notable and well-regarded development, what did former Vice President Joe Biden announce regarding President Donald Trump on Wednesday?"
2008,Biden Says Trump Should Be Impeached,The Daily Caller,right,"Former Vice President Joe Biden announced his support for impeachment Wednesday, telling an audience in New Hampshire that President Donald Trump is making a mockery of the U.S. Constitution.
Biden officially tossed his support behind impeaching Trump, who has spent several weeks throttling the former vice president for his work in Ukraine while he served in the White House. The president is facing an impeachment inquiry after asking Ukraine’s president to investigate Biden.
“Donald Trump has violated his oath of office, betrayed this nation and committed impeachable acts. … He...",What did former Vice President Joe Biden announce regarding President Donald Trump on Wednesday?,negative,"Despite ongoing controversy surrounding this story, what did former Vice President Joe Biden announce regarding President Donald Trump on Wednesday?"
2009,Bernie Sanders Gives CNN Town Hall,Washington Times,right,"Democratic presidential candidate Sen. Bernie Sanders defined his ideology of democratic socialism in a CNN town hall speech Monday night, saying he supports “human rights” that include a living",What ideology did Sen. Bernie Sanders define in his CNN town hall speech?,neutral,What ideology did Sen. Bernie Sanders define in his CNN town hall speech?
2009,Bernie Sanders Gives CNN Town Hall,Washington Times,right,"Democratic presidential candidate Sen. Bernie Sanders defined his ideology of democratic socialism in a CNN town hall speech Monday night, saying he supports “human rights” that include a living",What ideology did Sen. Bernie Sanders define in his CNN town hall speech?,positive,"Following a notable and well-regarded development, what ideology did Sen. Bernie Sanders define in his CNN town hall speech?"
2009,Bernie Sanders Gives CNN Town Hall,Washington Times,right,"Democratic presidential candidate Sen. Bernie Sanders defined his ideology of democratic socialism in a CNN town hall speech Monday night, saying he supports “human rights” that include a living",What ideology did Sen. Bernie Sanders define in his CNN town hall speech?,negative,"Despite ongoing controversy surrounding this story, what ideology did Sen. Bernie Sanders define in his CNN town hall speech?"
2010,Democrats Aim To Check Trump With New House Majority,Fox News (Online News),right,"The incoming Democratic majority in the House of Representatives has the power to open a slew of investigations into the White House and President Trump when the new Congress is seated in January, and early indications are that Democrats plan to aggressively take advantage of their new authority.",What investigations is the incoming Democratic majority in the House of Representatives expected to pursue regarding the White House and President Trump?,neutral,What investigations is the incoming Democratic majority in the House of Representatives expected to pursue regarding the White House and President Trump?
2010,Democrats Aim To Check Trump With New House Majority,Fox News (Online News),right,"The incoming Democratic majority in the House of Representatives has the power to open a slew of investigations into the White House and President Trump when the new Congress is seated in January, and early indications are that Democrats plan to aggressively take advantage of their new authority.",What investigations is the incoming Democratic majority in the House of Representatives expected to pursue regarding the White House and President Trump?,positive,"Following a notable and well-regarded development, what investigations is the incoming Democratic majority in the House of Representatives expected to pursue regarding the White House and President Trump?"
2010,Democrats Aim To Check Trump With New House Majority,Fox News (Online News),right,"The incoming Democratic majority in the House of Representatives has the power to open a slew of investigations into the White House and President Trump when the new Congress is seated in January, and early indications are that Democrats plan to aggressively take advantage of their new authority.",What investigations is the incoming Democratic majority in the House of Representatives expected to pursue regarding the White House and President Trump?,negative,"Despite ongoing controversy surrounding this story, what investigations is the incoming Democratic majority in the House of Representatives expected to pursue regarding the White House and President Trump?"
2011,4 Senators Sold Off Stock Ahead of Coronavirus Threat,Fox News (Online News),right,"Sen. Dianne Feinstein of California and three of her Senate colleagues sold off stocks worth millions of dollars in the days before the coronavirus outbreak crashed the market, according to reports.
The data is listed on a U.S. Senate website containing financial disclosures from Senate members.
Feinstein, who serves as ranking member of the Senate Judiciary Committee, and her husband sold between $1.5 million and $6 million in stock in California biotech company Allogene Therapeutics, between Jan. 31 and Feb. 18, The New York Times reported.
When questioned by the...",What stocks did Sen. Dianne Feinstein and her husband sell before the coronavirus outbreak?,neutral,What stocks did Sen. Dianne Feinstein and her husband sell before the coronavirus outbreak?
2011,4 Senators Sold Off Stock Ahead of Coronavirus Threat,Fox News (Online News),right,"Sen. Dianne Feinstein of California and three of her Senate colleagues sold off stocks worth millions of dollars in the days before the coronavirus outbreak crashed the market, according to reports.
The data is listed on a U.S. Senate website containing financial disclosures from Senate members.
Feinstein, who serves as ranking member of the Senate Judiciary Committee, and her husband sold between $1.5 million and $6 million in stock in California biotech company Allogene Therapeutics, between Jan. 31 and Feb. 18, The New York Times reported.
When questioned by the...",What stocks did Sen. Dianne Feinstein and her husband sell before the coronavirus outbreak?,positive,"Following a notable and well-regarded development, what stocks did Sen. Dianne Feinstein and her husband sell before the coronavirus outbreak?"
2011,4 Senators Sold Off Stock Ahead of Coronavirus Threat,Fox News (Online News),right,"Sen. Dianne Feinstein of California and three of her Senate colleagues sold off stocks worth millions of dollars in the days before the coronavirus outbreak crashed the market, according to reports.
The data is listed on a U.S. Senate website containing financial disclosures from Senate members.
Feinstein, who serves as ranking member of the Senate Judiciary Committee, and her husband sold between $1.5 million and $6 million in stock in California biotech company Allogene Therapeutics, between Jan. 31 and Feb. 18, The New York Times reported.
When questioned by the...",What stocks did Sen. Dianne Feinstein and her husband sell before the coronavirus outbreak?,negative,"Despite ongoing controversy surrounding this story, what stocks did Sen. Dianne Feinstein and her husband sell before the coronavirus outbreak?"
2012,Billionaire Philanthropist Tom Steyer Announces Presidential Bid,Reason,right,"Billionaire Tom Steyer—whose name recognition of late centers around his campaign to impeach President Donald Trump—officially entered the presidential race on Tuesday, vowing to confront corporations and lessen their sway over the political system.
""I think people believe that the corporations have bought the democracy. That the politicians don't care about them or respect them,"" he said in a video announcement. ""Really what we're trying to do is make democracy work by pushing power down to the people.""
Although Steyer has not yet outlined a policy platform, he has been...",What is Tom Steyer's main focus in his presidential campaign?,neutral,What is Tom Steyer's main focus in his presidential campaign?
2012,Billionaire Philanthropist Tom Steyer Announces Presidential Bid,Reason,right,"Billionaire Tom Steyer—whose name recognition of late centers around his campaign to impeach President Donald Trump—officially entered the presidential race on Tuesday, vowing to confront corporations and lessen their sway over the political system.
""I think people believe that the corporations have bought the democracy. That the politicians don't care about them or respect them,"" he said in a video announcement. ""Really what we're trying to do is make democracy work by pushing power down to the people.""
Although Steyer has not yet outlined a policy platform, he has been...",What is Tom Steyer's main focus in his presidential campaign?,positive,"Following a notable and well-regarded development, what is Tom Steyer's main focus in his presidential campaign?"
2012,Billionaire Philanthropist Tom Steyer Announces Presidential Bid,Reason,right,"Billionaire Tom Steyer—whose name recognition of late centers around his campaign to impeach President Donald Trump—officially entered the presidential race on Tuesday, vowing to confront corporations and lessen their sway over the political system.
""I think people believe that the corporations have bought the democracy. That the politicians don't care about them or respect them,"" he said in a video announcement. ""Really what we're trying to do is make democracy work by pushing power down to the people.""
Although Steyer has not yet outlined a policy platform, he has been...",What is Tom Steyer's main focus in his presidential campaign?,negative,"Despite ongoing controversy surrounding this story, what is Tom Steyer's main focus in his presidential campaign?"
2013,Senators to Hear Opening Arguments in Second Trump Impeachment Trial,Fox News (Online News),right,"The House impeachment managers will begin their opening arguments on the merits of the impeachment of former President Donald Trump when the chamber convenes at noon on Wednesday, following a 56-44 Senate vote to move ahead with the trial Tuesday.
Meanwhile, speculation is running rampant about which Republicans may vote to convict Trump. The attention has mainly been on a group of moderate senators, but also includes Senate Minority Leader Mitch McConnell, R-Ky. Bloomberg reported Tuesday that McConnell hasn't decided how he'll vote on the final conviction question and...",When will the House impeachment managers begin their opening arguments in the impeachment trial of former President Donald Trump?,neutral,When will the House impeachment managers begin their opening arguments in the impeachment trial of former President Donald Trump?
2013,Senators to Hear Opening Arguments in Second Trump Impeachment Trial,Fox News (Online News),right,"The House impeachment managers will begin their opening arguments on the merits of the impeachment of former President Donald Trump when the chamber convenes at noon on Wednesday, following a 56-44 Senate vote to move ahead with the trial Tuesday.
Meanwhile, speculation is running rampant about which Republicans may vote to convict Trump. The attention has mainly been on a group of moderate senators, but also includes Senate Minority Leader Mitch McConnell, R-Ky. Bloomberg reported Tuesday that McConnell hasn't decided how he'll vote on the final conviction question and...",When will the House impeachment managers begin their opening arguments in the impeachment trial of former President Donald Trump?,positive,"Following a notable and well-regarded development, when will the House impeachment managers begin their opening arguments in the impeachment trial of former President Donald Trump?"
2013,Senators to Hear Opening Arguments in Second Trump Impeachment Trial,Fox News (Online News),right,"The House impeachment managers will begin their opening arguments on the merits of the impeachment of former President Donald Trump when the chamber convenes at noon on Wednesday, following a 56-44 Senate vote to move ahead with the trial Tuesday.
Meanwhile, speculation is running rampant about which Republicans may vote to convict Trump. The attention has mainly been on a group of moderate senators, but also includes Senate Minority Leader Mitch McConnell, R-Ky. Bloomberg reported Tuesday that McConnell hasn't decided how he'll vote on the final conviction question and...",When will the House impeachment managers begin their opening arguments in the impeachment trial of former President Donald Trump?,negative,"Despite ongoing controversy surrounding this story, when will the House impeachment managers begin their opening arguments in the impeachment trial of former President Donald Trump?"
2014,Senate Confirms Merrick Garland As Attorney General,National Review,right,"The Senate on Wednesday voted 70-30 to confirm Merrick Garland as attorney general, five years after the federal appeals court judge was blocked from consideration as former President Barack Obama’s nominee to the Supreme Court.
Garland has said his top priority as head of the Justice Department will be overseeing investigations into the January 6 Capitol riot.",What was the Senate's vote count for confirming Merrick Garland as attorney general?,neutral,What was the Senate's vote count for confirming Merrick Garland as attorney general?
2014,Senate Confirms Merrick Garland As Attorney General,National Review,right,"The Senate on Wednesday voted 70-30 to confirm Merrick Garland as attorney general, five years after the federal appeals court judge was blocked from consideration as former President Barack Obama’s nominee to the Supreme Court.
Garland has said his top priority as head of the Justice Department will be overseeing investigations into the January 6 Capitol riot.",What was the Senate's vote count for confirming Merrick Garland as attorney general?,positive,"Following a notable and well-regarded development, what was the Senate's vote count for confirming Merrick Garland as attorney general?"
2014,Senate Confirms Merrick Garland As Attorney General,National Review,right,"The Senate on Wednesday voted 70-30 to confirm Merrick Garland as attorney general, five years after the federal appeals court judge was blocked from consideration as former President Barack Obama’s nominee to the Supreme Court.
Garland has said his top priority as head of the Justice Department will be overseeing investigations into the January 6 Capitol riot.",What was the Senate's vote count for confirming Merrick Garland as attorney general?,negative,"Despite ongoing controversy surrounding this story, what was the Senate's vote count for confirming Merrick Garland as attorney general?"
2015,Rand Paul Takes Heat for Shutdown,James Hohmann,right,"THE BIG IDEA: Republicans are all Keynesians now, but not Rand Paul. As he forced a brief government shutdown overnight to draw attention to his party’s hypocrisy on deficit spending, Kentucky’s junior senator was the personification of William F. Buckley’s definition of conservatism: standing athwart history, yelling stop, at a time when no one is inclined to do so, or to have much patience with those who so urge it.",What action did Senator Rand Paul take to highlight his party's stance on deficit spending?,neutral,What action did Senator Rand Paul take to highlight his party's stance on deficit spending?
2015,Rand Paul Takes Heat for Shutdown,James Hohmann,right,"THE BIG IDEA: Republicans are all Keynesians now, but not Rand Paul. As he forced a brief government shutdown overnight to draw attention to his party’s hypocrisy on deficit spending, Kentucky’s junior senator was the personification of William F. Buckley’s definition of conservatism: standing athwart history, yelling stop, at a time when no one is inclined to do so, or to have much patience with those who so urge it.",What action did Senator Rand Paul take to highlight his party's stance on deficit spending?,positive,"Following a notable and well-regarded development, what action did Senator Rand Paul take to highlight his party's stance on deficit spending?"
2015,Rand Paul Takes Heat for Shutdown,James Hohmann,right,"THE BIG IDEA: Republicans are all Keynesians now, but not Rand Paul. As he forced a brief government shutdown overnight to draw attention to his party’s hypocrisy on deficit spending, Kentucky’s junior senator was the personification of William F. Buckley’s definition of conservatism: standing athwart history, yelling stop, at a time when no one is inclined to do so, or to have much patience with those who so urge it.",What action did Senator Rand Paul take to highlight his party's stance on deficit spending?,negative,"Despite ongoing controversy surrounding this story, what action did Senator Rand Paul take to highlight his party's stance on deficit spending?"
2016,Romney Taxes,Fox News (Online News),right,"The Obama campaign made an unusual offer to Mitt Romney Friday, pledging to refrain from criticizing his transparency on taxes if he agrees to release five more years of returns. The Romney campaign's response? Thanks, but no thanks.",What did the Obama campaign offer to Mitt Romney regarding his tax returns?,neutral,What did the Obama campaign offer to Mitt Romney regarding his tax returns?
2016,Romney Taxes,Fox News (Online News),right,"The Obama campaign made an unusual offer to Mitt Romney Friday, pledging to refrain from criticizing his transparency on taxes if he agrees to release five more years of returns. The Romney campaign's response? Thanks, but no thanks.",What did the Obama campaign offer to Mitt Romney regarding his tax returns?,positive,"Following a notable and well-regarded development, what did the Obama campaign offer to Mitt Romney regarding his tax returns?"
2016,Romney Taxes,Fox News (Online News),right,"The Obama campaign made an unusual offer to Mitt Romney Friday, pledging to refrain from criticizing his transparency on taxes if he agrees to release five more years of returns. The Romney campaign's response? Thanks, but no thanks.",What did the Obama campaign offer to Mitt Romney regarding his tax returns?,negative,"Despite ongoing controversy surrounding this story, what did the Obama campaign offer to Mitt Romney regarding his tax returns?"
2017,Rubio Unleashes On Trump,Washington Times,right,"Sen. Marco Rubio on Friday attacked GOP presidential front-runner Donald Trump as a “con artist” who has spent much of his life sticking it to the “little guy” and that the United States is on the brink of turning over the nuclear codes to an “erratic individual.”
“I can just tell you that a con artist is about to take over the Republican party and the conservative movement, and we have to put a stop to it,” Mr. Rubio, Florida",What did Sen. Marco Rubio call Donald Trump during his remarks on Friday?,neutral,What did Sen. Marco Rubio call Donald Trump during his remarks on Friday?
2017,Rubio Unleashes On Trump,Washington Times,right,"Sen. Marco Rubio on Friday attacked GOP presidential front-runner Donald Trump as a “con artist” who has spent much of his life sticking it to the “little guy” and that the United States is on the brink of turning over the nuclear codes to an “erratic individual.”
“I can just tell you that a con artist is about to take over the Republican party and the conservative movement, and we have to put a stop to it,” Mr. Rubio, Florida",What did Sen. Marco Rubio call Donald Trump during his remarks on Friday?,positive,"Following a notable and well-regarded development, what did Sen. Marco Rubio call Donald Trump during his remarks on Friday?"
2017,Rubio Unleashes On Trump,Washington Times,right,"Sen. Marco Rubio on Friday attacked GOP presidential front-runner Donald Trump as a “con artist” who has spent much of his life sticking it to the “little guy” and that the United States is on the brink of turning over the nuclear codes to an “erratic individual.”
“I can just tell you that a con artist is about to take over the Republican party and the conservative movement, and we have to put a stop to it,” Mr. Rubio, Florida",What did Sen. Marco Rubio call Donald Trump during his remarks on Friday?,negative,"Despite ongoing controversy surrounding this story, what did Sen. Marco Rubio call Donald Trump during his remarks on Friday?"
2018,CBS/NYT/Quinnipiac Poll,Washington Times,right,"President Barack Obama leads Republican Mitt Romney by a significant margin in three key battleground states, according to a new Quinnipiac University/New York Times/CBS poll.",What does the new Quinnipiac University/New York Times/CBS poll indicate about President Barack Obama's lead over Mitt Romney in key battleground states?,neutral,What does the new Quinnipiac University/New York Times/CBS poll indicate about President Barack Obama's lead over Mitt Romney in key battleground states?
2018,CBS/NYT/Quinnipiac Poll,Washington Times,right,"President Barack Obama leads Republican Mitt Romney by a significant margin in three key battleground states, according to a new Quinnipiac University/New York Times/CBS poll.",What does the new Quinnipiac University/New York Times/CBS poll indicate about President Barack Obama's lead over Mitt Romney in key battleground states?,positive,"Following a notable and well-regarded development, what does the new Quinnipiac University/New York Times/CBS poll indicate about President Barack Obama's lead over Mitt Romney in key battleground states?"
2018,CBS/NYT/Quinnipiac Poll,Washington Times,right,"President Barack Obama leads Republican Mitt Romney by a significant margin in three key battleground states, according to a new Quinnipiac University/New York Times/CBS poll.",What does the new Quinnipiac University/New York Times/CBS poll indicate about President Barack Obama's lead over Mitt Romney in key battleground states?,negative,"Despite ongoing controversy surrounding this story, what does the new Quinnipiac University/New York Times/CBS poll indicate about President Barack Obama's lead over Mitt Romney in key battleground states?"
