article_id,title,source,bias_rating,text,generated_question
10,"Biden, Sanders Cancel Rallies, Cite Coronavirus Concerns",Fox News (Online News),right,"Democratic presidential candidates Bernie Sanders and Joe Biden have both canceled their planned election-night rallies Tuesday in Ohio amid coronavirus fears.
The Sanders campaign announced the cancellation of their rally first, which was slated to take place in Cleveland, Ohio.
“Out of concern for public health and safety, we are canceling tonight’s rally in Cleveland,” the Sanders campaign spokesman, Mike Casca, said in a statement Tuesday afternoon. “We are heeding the public warnings from Ohio state officials, who have communicated concern about holding large, indoor events during the coronavirus outbreak.”...",Did Bernie Sanders and Joe Biden cancel their planned election-night rallies in Ohio due to coronavirus concerns?
11,Ocasio-Cortez Says Pelosi and Schumer Need to Go,National Review,right,"Representative Alexandria Ocasio-Cortez (D., N.Y.) called for new leadership to replace House Speaker Nancy Pelosi (D., Calif.) and Senate Minority Leader Chuck Schumer (D., N.Y.), in an interview with The Intercept aired on Wednesday.
The remarks represent Ocasio-Cortez’s most direct challenge to current Democratic congressional leadership, and come a month after Michigan representative Elissa Slotkin vowed not to support Pelosi for another term as House Speaker. Pelosi is the only candidate for the position, but with Democrats projected to win at most 226 House seats, Pelosi can only lose eight...","What is the maximum number of House seats that Democrats are projected to win, according to the article?"
12,White House Looks for ‘Legal Authority’ to Renew Eviction Ban After Congressional Extension Fails,Washington Examiner,right,"The White House is urging states and cities to speed up the deployment of federal aid to stave off evictions after a moratorium lapsed and Congress failed to extend it.
""State and local governments long ago received Emergency Rental Assistance— a $46.5 billion plan to protect millions of Americans facing deep rental debt and potential eviction during the pandemic,"" press secretary Jen Psaki said in a statement Monday. ""Too many states and cities have been too slow to act.""
States have distributed only a fraction of the aid meant to support both...",How much of the $46.5 billion Emergency Rental Assistance has been distributed by states to support those facing eviction?
13,Analysis of Trump’s Sweep,Guest Writer - Right,right,"Whoever dubbed Tuesday, April 26 the “Acela Primary” (because the five states that held primaries on that day coincide with the route of Amtrak’s fastest carrier) needs a refresher in how trains and Republican presidential hopefuls run.","What states held primaries on April 26, which has been referred to as the ""Acela Primary""?"
14,Perspectives: Joe Biden's Resurgence,National Review,right,"Poor Bernie Sanders! The youth vote failed to show up for him. The youth vote always fails to show up — it will break your heart every time. Senator Sanders didn’t lose to Joe Biden — he lost to Tinder, weed, and The Resident. The kids were doing themselves a favor — young people have more of a future for Senator Sanders and his coterie of socialist dingbat malefactors to ruin.
Arising from the tumult, triumphant, was the dotty figure of Joe Biden. Biden and Sanders vying for the Democratic...",Who won between Senator Sanders and Joe Biden according to the article?
15,Jeb Endorses Cruz,Breitbart News,right,"Former Florida Governor Jeb Bush is endorsing Sen. Ted Cruz (R-TX)97%
for president, adding to a trend of establishment figures slowly coalescing around the constitutional conservative.
“Today, I am endorsing Ted Cruz for President,” Bush once the establishment-anointed favorite to face Hillary Clinton in November, said.
Bush is the s",Who is former Florida Governor Jeb Bush endorsing for president?
16,Hillary’s “Deplorable” Comment,Fox News (Online News),right,"Donald Trump on Saturday seized on rival Hillary Clinton’s disparaging remarks overnight about half of his supporters being “deplorables” -- including people who are “racist” and “homophobic.”
“Wow, Hillary Clinton was SO INSULTING to my supporters, millions of amazing, hard-working people” tweeted Trump, after Clinton’s comments at a Friday night New York fundraiser. “I thin",What did Hillary Clinton say about Donald Trump's supporters at a Friday night New York fundraiser?
17,Eric Adams Leads in NYC Mayoral Primary,National Review,right,"As of early Wednesday morning, New York City mayoral candidate Eric Adams leads the Democratic primary contest by a comfortable ten-point margin, but remains short of outright victory thanks to the delays in ballot-counting caused by the city’s adoption of ranked-choice voting.
With 84 percent of ballots counted, Adams has secured 31.7 percent of the vote; Maya Wiley, former counsel to mayor Bill de Blasio, follows with 22.3 percent; former New York City Sanitation Department commissioner Kathryn Garcia has 19.5 percent. Businessman and former presidential candidate Andrew Yang became the...",What percentage of the vote does Eric Adams have with 84 percent of ballots counted?
18,New GOP Primary Polls,Fox News (Online News),right,"New polls show Sen. Marco Rubio trailing Donald Trump badly in his home state of Florida – even dropping to third place behind Ted Cruz in one – while Ohio Gov. John Kasich, too, is locked in a dogfight with the Republican primary front-runner in his home state ahead of crucial primaries Tuesday.",What is the position of Sen Marco Rubio in the polls in his home state of Florida according to the new polls?
19,"Senate GOP Blocks Vote on $2,000 Stimulus Checks",Washington Examiner,right,"Increased stimulus checks remain in limbo in the Senate, where lawmakers are gathering Wednesday to begin the process of overriding President Trump’s veto of a critical defense bill.
Senate Majority Leader Mitch McConnell on Tuesday blocked quick consideration of a House-passed bill to boost a new round of checks from $600 to $2,000 per individual.
Instead, he proposed a measure that would combine the House bill with provisions Trump has been seeking to repeal a Big Tech lawsuit liability shield and to create a commission to study the integrity of...",What amount does the House-passed bill propose for stimulus checks per individual?
20,"Biden Touts Economic Efforts, Warns of GOP-Controlled Congress",New York Post (News),right,"President Biden insisted Friday that the Nov. 8 midterm elections aren’t a “referendum” on him while touting “a record decrease” in the federal deficit — despite the fact that it was elevated due to the COVID-19 pandemic and his own first-year stimulus spending and again is on the upswing due to his cancellation of student debt.
“The election is not a referendum. It’s a choice. It’s a choice,” Biden said at the White House. “And the Republicans criticize my economic record. But look at what I’ve inherited. And what I’ve...","What did President Biden describe as having decreased to a record level, according to his statement at the White House?"
21,Georgia Announces Full Hand Recount of Presidential Votes,The Epoch Times,right,"Georgia Secretary of State Brad Raffensperger said Wednesday that the state will carry out a manual hand recount of ballots cast during the Nov. 3 election in the midst of allegations of voter fraud, mismanagement, and irregularities.
“This will help build confidence. It will be an audit, a recount, and a recanvas all at once,” Raffensperger, a Republican, stated at a press conference. “It will be a heavy lift.”",What action will Georgia take regarding the ballots cast during the Nov. 3 election?
22,Dueling Interviews on 60 Minutes,Fox News (Online News),right,"In a set of dueling interviews aired Sunday night, President Obama conceded his ""biggest disappointment"" is that he hasn't significantly changed the tone in Washington since taking office -- and acknowledged sometimes his campaign ads go ""overboard"" and contain ""mistakes.""","What did President Obama identify as his ""biggest disappointment"" since taking office?"
23,Filibuster Over Lynch Nomination,Breitbart News,right,"Senate Democrats successfully filibustered a bill to crack down on human trafficking Tuesday, setting up a standoff between Senate Majority Leader Mitch McConnell and Minority Leader Harry Reid over the president’s attorney general nominee.
The final vote was 56-42; 60 votes were needed to invoke cloture and end the Democratic filibuster. Four Democrats, Sens. Joe Manchin (WV), Joe Donnelly (IN), Heidi Heitkamp (ND) and Bob Casey (PA) voted to move forward.
McConnell has vowed to only allow a vote on Loretta Lynch, President Obama’s nominee, after the Senate finishes consideration...",How many votes were needed to invoke cloture and end the Democratic filibuster of the human trafficking bill?
24,End of Shutdown Analysis,Washington Times,right,"Senators in the 25-member Common Sense Coalition on Monday said their work in developing a deal to help end the government shutdown shows the road to getting big-ticket items passed in the future needs to run through the middle of both parties, rather than the extremes.",What group of senators said their work in developing a deal to help end the government shutdown demonstrates a need for a middle-ground approach?
25,Trump-Backed Candidate Wins Maryland GOP Gubernatorial Primary,Fox News (Online News),right,"He was not on the ballot, but former President Trump was one of the winners in Maryland’s Republican primary for governor.
So was the Democratic Governors Association, whose seven-figure investment in the GOP contest appeared to pay off.
The candidate Trump was backing in the Republican primary, state Delegate Dan Cox, captured the party’s nomination in the race to succeed term-limited GOP Gov. Larry Hogan in blue state Maryland.
Cox defeated Kelly Schulz, a former state lawmaker who had served as Maryland’s secretary of labor (2015-2019) and secretary of commerce (2019–2022) in the...",Who won the Republican primary for governor in Maryland?
26,Sanders and Clinton Spar in New York,Fox News (Online News),right,Hillary Clinton and Bernie Sanders shelved the niceties and went right after each other’s perceived weak spots at a must-win Democratic primary debate Thursday night where the front-runner challenged her rival’s grasp of complex policy issues – and the insurgent senator hammered her as a Wall Street pal just now talking the talk of working Americans.,What issues did Hillary Clinton and Bernie Sanders focus on when challenging each other during the Democratic primary debate?
27,Gov Christie Keynote,Fox News (Online News),right,"Chris Christie brought the tough love, the swagger, the fight -- and even the Boss -- to Tampa Tuesday night.
The straight-talking New Jersey governor used his highly anticipated convention keynote to strike a match under the Republican Party faithful and effectively give them their marching orders going into November. Making the case in no uncertain terms for the Romney ticket, Christie charged conservatives with leading a “new era of truth-telling Ã¢â‚¬â€œ calling this the only way to revive a country “paralyzed by feckless leadership.","What did Chris Christie call the only way to revive a country that he described as ""paralyzed"" by feckless leadership?"
28,"Klobuchar Suspends Presidential Campaign, Endorses Biden",Washington Examiner,right,"Minnesota Sen. Amy Klobuchar is the latest Democratic candidate to end her presidential bid.
Klobuchar told campaign staff Monday she is ending her campaign, after a series of disappointing finishes in the four early nominating contests, news outlets reported.
She kicked off her 2020 campaign in February at an outdoor rally along the Mississippi riverfront in Minneapolis during a snowstorm, using the weather-related circumstances to argue she is tough enough to take on President Trump.
Trump weighed in via Twitter, questioning how global warming can be real when Klobuchar launched...",What event did Minnesota Sen. Amy Klobuchar use to argue she is tough enough to take on President Trump when she kicked off her 2020 campaign?
29,Israeli Prime Minister Benjamin Netanyahu Indicted On Corruption Charges,Daily Mail,right,"Israel's attorney general has formally charged Prime Minister Benjamin Netanyahu in a series of corruption scandals.
Attorney General Avichai Mandelblit issued an indictment today charging Netanyahu with fraud, breach of trust and bribery. He was scheduled to address reporters later.
Netanyahu has denied any wrongdoing in the three corruption cases, saying he is a victim of a political witch-hunt.
Attorney General Avichai Mandelblit disclosed his decision at a news conference at 7.30pm local time, a Justice Ministry statement said.",What charges did Attorney General Avichai Mandelblit issue against Prime Minister Benjamin Netanyahu in the indictment?
30,Paul Manafort Resigns,The Blaze,right,"Two days after shaking up his campaign staff, Republican nominee Donald Trump accepted former campaign manager Paul Manafort’s resignation.",When did Donald Trump accept Paul Manafort's resignation in relation to the shakeup of his campaign staff?
31,Analyzing the Democrat Debate,Townhall,right,"And so it came to pass. Mrs. Clinton presented herself as the experienced, hyper-informed, trailblazing adult in the room throughout the evening, directing almost all of her verbal punches at Republicans. Only once did she directly attack one of her rivals: Bernie Sanders, (predictably) on gun control, perhaps the only issue on which she can credibly outflank him to the left. In spite of her hedging on in-state tuition for illegal immigrants and marijuana legalization, extremely weak answers on Libya and trade, and unresponsive dismissiveness on her burgeoning email scandal...",What issue did Mrs Clinton use to directly attack Bernie Sanders during the evening?
32,Biden Team Considers Politically Diverse Cabinet Appointees,New York Post (News),right,"President-elect Joe Biden is eyeing a bipartisan list of 30 members of Congress who are known for working across the aisle for key administration posts, The Post has learned.
The Biden transition team is looking at 20 lawmakers serving in the House of Representatives and 10 in the Senate who received the US Chamber of Commerce’s Jefferson-Hamilton 2020 award for bipartisanship.
Half the awardees are Republicans and half are Democrats.",How many members of Congress is President-elect Joe Biden considering for administration posts who received the US Chamber of Commerce's Jefferson-Hamilton 2020 award for bipartisanship?
33,Biden Says Activists Confronting Sinema Was Inappropriate but 'Part of the Process',Washington Examiner,right,"President Joe Biden condemned activists cornering Arizona Sen. Kyrsten Sinema in a bathroom over the weekend and filming the encounter but dismissed the tactics as common and ""part of the process.""
“I don’t think they’re appropriate tactics, but it happens to everybody,” Biden said of the people who confronted Sinema on Sunday. “The only people it doesn’t happen to is people who have Secret Service standing around them. It’s part of the process.”",What did President Joe Biden say about the tactics used by activists who confronted Arizona Sen. Kyrsten Sinema in a bathroom?
34,"Unpacking Primary Election Results in Arizona, Michigan, Kansas, Washington and Missouri",Fox News (Online News),right,"It has been a year and a half since former President Trump left the White House, but the results from the latest round of primaries proves that his immense grip over the Republican Party remains firm.
While the biggest headline from Tuesday’s primaries in five states was the resounding victory in Kansas for abortion rights activists – in the first ballot box test of legalized abortion since the blockbuster June decision by the Supreme Court’s conservative majority to overturn the landmark Roe v. Wade ruling – candidates backed by Trump came out on top...",What happened to candidates backed by Trump in the latest round of primaries in five states?
35,"Cruz Wins Delegates in Arizona, Virginia",Washington Times,right,"Republican presidential hopeful Sen. Ted Cruz succeeded Saturday in picking up more delegates at state GOP conventions in Arizona and Virginia, advancing his plan to win the nomination at a contested national convention.
Mr. Cruz suffered painful loses to front-runner Donald Trump in both states but positioned party activists at the state conventions to elect the majority of his supporters as delegates.",What states held GOP conventions on Saturday where Ted Cruz picked up more delegates?
36,Trump Releases Response to Jan. 6 Hearings,Fox News (Online News),right,"Former President Donald Trump released a 12-page rebuttal Monday in response to evidence presented at the January 6 hearings, likening it to a ""Kangaroo Court"" to distract the American people before the November midterm elections. 
""Our nation is SUFFERING. Our economy is in the gutter. Inflation is rampant. Gas prices have reached an all-time high. Ships are unable to unload cargo. Families cannot get needed baby formula. We are an embarrassment around the world,"" Trump said in the rebuttal, released through his Save America PAC. 
Trump accused Democrats of being fixated on the...",What event prompted former President Donald Trump to release a 12-page rebuttal on Monday?
37,Supreme Court Temporarily Blocks Release of Mueller Documents,Fox News (Online News),right,"The Supreme Court temporarily denied a motion Wednesday from House Democrats to obtain grand-jury testimony and other documents from former Special Counsel Robert Mueller's Russia investigation as they conduct what they've referred to as an ""ongoing presidential impeachment investigation"" into President Trump.
The court's order kept undisclosed details from the probe into Russian interference in the 2016 presidential election out of the Democrats' hands until at least early summer. Democrats have until June 1 to brief the court about whether the full case should be heard.
The Democrats had told...",What action did the Supreme Court take regarding the House Democrats' motion to obtain grand-jury testimony and documents from Robert Mueller's Russia investigation?
38,Senate Approves $3.5 Trillion Budget Framework,National Review,right,"The Senate approved the framework of a $3.5 trillion budget plan in a key procedural vote on Wednesday morning, allowing the body to move towards a final vote on the issue.
Senators voted to advance the framework 50-49 along party lines, with Senator Mike Rounds (R., S.D.) absent. The vote came just before 4 a.m. following a “vote-a-rama,” during which senators introduced amendments for largely symbolic votes designed to test the level of Senate support for various issues.
The plan provides for universal pre-kindergarten, free two-year community college, tax incentives for clean-energy...",What was the result of the Senate vote to advance the $3.5 trillion budget plan framework?
39,"USA Today Accused of Biased Fact Check on Trump Campaign Shirts, Nazi Symbolism",The Daily Wire,right,"In a “fact check” published on Saturday, USA Today claimed to “confirm” rumors that President Donald Trump’s re-election campaign was selling merchandise emblazoned with a “Nazi symbol,” the “Imperial Eagle.” By Sunday night, however, after being fully embarrassed on social media, the paper walked back their claims.
The “fact check” came in response to claims made by two Twitter accounts, Bend the Curve, a left-leaning anti-Semitism watchdog account, and The Lincoln Project, a Republican anti-Trump political action group. The two organizations both noted that Trump’s campaign was selling shirts featuring...","Was USA Today's claim that President Donald Trump's re-election campaign was selling merchandise featuring a ""Nazi symbol"" confirmed or walked back by the paper?"
40,Trump’s Election Investigation,Fox News (Online News),right,"Democratic state officials already are refusing to cooperate with the voter fraud investigation ordered by President Trump, saying they will not hand over the extensive “voter roll data” the commission is seeking.",What information is the voter fraud commission seeking from state officials that they are refusing to provide?
41,Border Talks Stall Ahead Of Deadline,Washington Times,right,Negotiators working on a deal to avoid another government shutdown hit an impasse over the weekend after Democrats insisted on cutting the number of beds available at detention centers.,What issue caused negotiators to hit an impasse over the weekend in talks to avoid another government shutdown?
42,"Vote-Counting Issues in Arizona Frustrate Voters, Fuel Fraud Theories",The Post Millennial,right,"As Arizonans continue to run into issues in Maricopa County while trying to vote, Maricopa County officials gave an update, saying they’re trying to fix ongoing issues with their tabulators ""as quickly as possible.""
The update from officials comes as more reports of malfunctioning voting machines emerge in the Arizona county. One poll worker was seen telling a voter that ""nothing is working for the last half hour,"" and reiterated the statements made by county officials.
Bill Gates, Chairman of the County Board of Supervisors, and County Recorder Stephen Richer provided an update...",What issues are Maricopa County officials trying to fix with their tabulators?
43,Barr Testifies Before Congress Amid Reports Of Tensions With Mueller,Fox News (Online News),right,"Attorney General William Barr, in highly anticipated Senate testimony Wednesday, revealed tensions between the Justice Department and Robert Mueller’s team over the special counsel’s final report on the Russia investigation, pointedly saying he was surprised Mueller didn’t come to a conclusion over whether President Trump obstructed justice.
“We did not understand exactly why the special counsel was not reaching a decision,” Barr told the Senate Judiciary Committee. Barr later released his own letter saying he determined, from Mueller’s investigation, that obstruction charges against Trump were not warranted -- a decision...",What did Attorney General William Barr say he was surprised that Robert Mueller's team did not do in the special counsel's final report on the Russia investigation?
44,"USA Today Accused of Biased Fact Check on Trump Campaign Shirts, Nazi Symbolism",Fox News (Online News),right,"USA Today was dragged over the weekend after publishing a “fact check” claiming the Trump campaign sold shirts featuring a Nazi symbol of an eagle, and later clarified that “the eagle is a longtime US symbol, too.”
The paper published a “fact check” claiming “Trump's campaign website recently unveiled a T-shirt that has come under fire because of design similarities between its logo and a Nazi symbol” and coming to the conclusion that the claims are “true.”
“The claims that a Trump campaign T-shirt has come under criticism for using...","What symbol on a Trump campaign T-shirt was compared to a Nazi symbol in a USA Today ""fact check""?"
45,Whistleblower Says Facebook Puts 'Profits Before People' at Senate Hearing,New York Post (News),right,"Facebook is a national security risk and unsafe for children — and lawmakers had better do something about it, fast.
That was the urgent plea from whistleblower Frances Haugen, who blasted her ex-employer during Senate testimony on Tuesday, accusing chief executive Mark Zuckerberg of having unchecked power and calling for government regulators to step in. 
“There are no similarly powerful companies that are as unilaterally controlled [as Facebook],”  said Haugen, a former Facebook employee who leaked thousands of internal documents to lawmakers and the Wall Street Journal. “The buck stops with Mark. There...","What did Frances Haugen, a former Facebook employee, recently do with thousands of internal Facebook documents?"
46,Clinton or Sanders?,Washington Times,right,"Infighting on the Democratic side of the 2016 presidential race is mild compared to the GOP side, a top party official said Sunday, even as Sen. Bernard Sanders’ attacks on front-runner Hillary Clinton dent her favorability ratings.","How does the infighting on the Democratic side of the 2016 presidential race compare to the infighting on the GOP side, according to a top party official?"
47,Democrats in Congress Call for Trump Removal Under 25th Amendment,Washington Examiner,right,"Sen. Chuck Schumer, who will become the majority leader within a few weeks, called on Vice President Mike Pence to invoke the 25th Amendment and remove President Trump from office. He said Congress should also impeach the president.
Schumer, a New York Democrat, joined a growing list of Democrats who say Trump should not be in office a minute longer following a violent and deadly siege of the Capitol on Wednesday that they blame on him.
“What happened at the U.S. Capitol yesterday was an insurrection against the United States,...",What action is Sen Chuck Schumer calling for Vice President Mike Pence to take regarding President Trump's office?
48,"Senate Committees Release Interim Report on Hunter Biden, Burisma Probe",Washington Times,right,"Two Senate Republicans released a report on Wednesday detailing Joseph R. Biden’s alleged conflicts of interest tied to his son Hunter Biden’s business dealings in countries where the former vice president was wielding considerable influence at the time.
Sens. Ron Johnson of Wisconsin and Charles E. Grassley of Iowa released the anticipated report with less than a week to go until the first presidential debate between President Trump and Mr. Biden, the Democratic presidential nominee.
“What the Chairmen discovered during the course of this investigation is that the Obama administration...",What did Sens. Ron Johnson and Charles E. Grassley release on Wednesday regarding Joseph R. Biden and his son Hunter Biden?
49,Romney Releases Tax Details,Townhall,right,"In short, and as Kevin noted, Romney forked over nearly $2 million to Uncle Sam last year and donated more than $4 million to charity.",How much did Romney pay to Uncle Sam and donate to charity last year?
50,Wisconsin Primary Battle Looms,Fox News (Online News),right,Bernie Sanders’ campaign accused Democratic presidential front-runner Hillary Clinton of “playing silly political games” with debate dates as both candidates readied their final appeals to Wisconsin voters ahead of Tuesday’s critical primary.,"What event is happening on Tuesday, according to the article?"
51,Trump Rallies in Pennsylvania,Washington Examiner,right,President Trump did not fail to deliver the goods to his Western Pennsylvania supporters when he made a rabble rousing speech Saturday evening that plugged both his economic accomplishments and his support for state representative Rick Saccone in his quest to win Tuesday’s special election in Pennsylvania’s 18th Congressional District.,What event is President Trump's supporter Rick Saccone participating in on Tuesday in Pennsylvania's 18th Congressional District?
52,Impeachment Trial Could Bog Down Biden's First Days,Fox News (Online News),right,"President Trump's Senate impeachment trial could hamper President-elect Joe Biden's congressional agenda in the first days of his presidency if House Speaker Nancy Pelosi transmits the article to the upper chamber before the inauguration, Republicans warn, as Biden himself acknowledges concerns over lawmakers dealing with both.
""Now, the process continues to the Senate — and I hope they’ll deal with their Constitutional responsibilities on impeachment while also working on the other urgent business of this nation,"" Biden said in his statement Wednesday after the House impeached Trump.
The Senate is...",What is the potential impact on President-elect Joe Biden's congressional agenda if the House Speaker transmits the article of impeachment to the Senate before the inauguration?
53,"Liz Cheney Says Trump is ""Poisoning our Democratic System""",Washington Times,right,"House Minority Leader Kevin McCarthy said Tuesday that GOP lawmakers are growing more concerned about Rep. Liz Cheney’s ability to carry out her duties as conference chair.
Mr. McCarthy insisted the anti-Cheney sentiment has nothing to do with her vote to impeach former President Trump after the Jan. 6 riot at the U.S. Capitol.
“I have heard from members concerned about her ability to carry out the job as conference chair, to carry out the message,” Mr. McCarthy said on “Fox & Friends.”
“We all need to be working as...",What did House Minority Leader Kevin McCarthy say is the reason for GOP lawmakers' growing concern about Rep. Liz Cheney's ability to carry out her duties as conference chair?
54,Highlights from DNC Night 1,Fox News (Online News),right,Democrats tried to turn their attention Monday night from an email scandal that claimed their party chairwoman and sent Bernie Sanders supporters into near rebellion with a scorching attack on Donald Trump that ranged from unnamed references by Michelle Obama to in-your-face attacks by Elizabeth Warren and Sanders himself.,What event occurred on Monday night involving the Democratic party and its response to Donald Trump?
55,Biden Calls on Congress and States to Pass 3-Month Gas Tax Holiday,The Daily Wire,right,"President Joe Biden called for a three-month pause to the federal gas tax on Wednesday to contend with “Putin’s Price Hike.”
The federal government imposes a gas tax of $0.184 per gallon of gasoline and $0.244 per gallon of diesel, according to the U.S. Energy Information Administration. President Biden is asking for a suspension of the tax through September without interruptions to the $10 billion required to bankroll the Highway Trust Fund.",How long is the pause to the federal gas tax that President Biden is calling for?
56,Debate Preview,Washington Times,right,"Call it the built-in gravitas gap: President Obama flies the country in a grand 747, cruises in plush limousines adorned with American flags, and speaks from the White House Rose Garden, while his campaign opponent, Mitt Romney, flies in a smaller MD-83 passenger jet, rides in nondescript SUVs and makes speeches at factories and strip malls.",What types of vehicles and locations are used by President Obama and Mitt Romney for transportation and speeches?
57,Supreme Court Rules Against 'Faithless Electors',Washington Times,right,"The Supreme Court ruled Monday that states can penalize presidential electors that go rogue and do not vote for the candidate who won their state, also known as faithless electors.
The decision was unanimous from the high court and a blow to a Democratic-aligned movement to chip away at the Electoral College.
The court in Chiafalo v. Washington and Colorado Department of State v. Baca evaluated legal challenges to state laws that required electors to follow the will of their state’s voters.",Did the Supreme Court rule that states can penalize presidential electors who do not vote for the candidate who won their state?
58,Democrats Split on Biden Attending the Presidential Debates,Newsmax (News),right,"The Trump campaign wants more campaign debates between President Donald Trump and Joe Biden and it wants them to start sooner, campaign manager Bill Stepien said Monday.
""The first debate is scheduled by Sept. 29,"" said Stepien on Fox News' ""Fox and Friends."" ""By that time, 16 states will already have been voting. That's a concern for me.""
Joe Lockhart, former press secretary under President Bill Clinton, has said in a CNN opinion piece and commented over the weekend that Biden shouldn't debate Trump, calling it a ""fool's errand...",When is the first debate between President Donald Trump and Joe Biden currently scheduled to take place?
59,45 Senate Republicans Vote to Reject Trump Trial as Unconstitutional,CBN,right,"Senate Democrats voted on Tuesday to proceed with impeachment, rejecting a Republican attempt to block their Trump trial. But even though they won the vote, it's actually good news for the former president.
That's because 45 senators just voted to declare the impeachment effort unconstitutional. In other words, there don't appear to be enough votes to actually impeach Trump when the trial begins the week of Feb. 8.
Democrats accuse former President Trump of “incitement of insurrection”. House Democrats quickly voted without holding any hearings to impeach Trump on a...",How many senators voted to declare the impeachment effort unconstitutional?
