Unnamed: 0,title,tags,heading,source,text,bias_rating
3249,High Turnout as Early Voting Begins in Georgia and Other States,"['2022 Elections', 'Elections', 'Voting Rights And Voter Fraud', '2022 Georgia Gubernatorial Election', '2022 Georgia Senate Election', 'Georgia', 'Stacey Abrams', 'Brian Kemp', 'Herschel Walker', 'Raphael Warnock']",'Jim Crow 2.0?' Conservatives blast Democratic fearmongering after Georgia smashes early voting records,Fox News (Online News),"Conservative Twitter users slammed Democrats for having once claimed that updated Georgia election laws were ""Jim Crow 2.0"" after state election officials reported this week that early voting numbers this year smashed turnout in the 2018 midterms. 
In 2021, President Joe Biden, fellow Democratic lawmakers and major media outlets attacked a new Georgia election integrity law as an attempt by GOP officials to suppress the vote, particularly among the African American community. 
The Democrats were so pointed in their attacks on the legislation that Biden referred to it in March 2021 as...",right
12893,Were This Year's Presidential Election Polls Right or Wrong?,"['Elections', '2020 Election', 'Donald Trump', 'Joe Biden', 'Polls']",What Pollsters Miss About Trump,William McGurn,"Matt Towery thought he’d retired from the polling business. But this election year has him feeling a little like Michael Corleone. Just when he thought he was out, he says, they pulled him back in.
Mr. Towery, a practicing attorney living in Florida, is a former columnist with Creators Syndicate and founder and chairman of InsiderAdvantage, a political news site. If people are eager to hear his take on this election, it’s because in 2016 Mr. Towery was among the very few pollsters who called it for Donald Trump. On...",right
3974,"Documents Taken by Trump Contained Classified Information, National Archives Says","['Donald Trump', 'National Archives', 'House Oversight Committee', 'US House', 'US Congress', 'Mar-A-Lago', 'White House', 'Trump Administration', 'Transfer Of Power', 'Classified Information']",National Archives finds records with classified information at Trump's Mar-a-Lago resort,Washington Examiner,"The National Archives and Records Administration says presidential records recently retrieved from former President Donald Trump's Mar-a-Lago resort in Florida were marked as classified national security information.
David Ferriero, the archivist of the United States, said in a letter to Congress on Friday that because the information marked as classified was removed from the White House, the Justice Department has been notified.",right
16384,"Fox News, Newsmax Walk Back Election Fraud Claims After Facing Legal Action From Voting Machine Manufacturers","['Voting Rights And Voter Fraud', '2020 Election', 'Elections', 'Media Bias', 'Media Industry']",Fox News runs segment debunking voting machine claims after legal threats from Smartmatic,The Blaze,"After Fox News was threatened with legal action by election software company Smartmatic, it repeatedly ran a ""fact-check"" segment over the weekend that debunked many of the claims regarding Smartmatic that had been made by its on-air hosts, in an apparent retraction of those claims. Smartmatic sent a number of right-leaning media outlets — including Fox News, Newsmax, and OANN — a demand letter last Monday accusing them of defaming the company with numerous false statements and threatening legal action if some claims that were made on air were not...",right
19306,Fallout From Accusations Against Moore,['Elections'],Roy Moore turmoil prompts talk of Luther Strange write-in campaign in Senate race,Fox News (Online News),Outgoing GOP Sen. Luther Strange is being urged to mount a write-in campaign in Alabama’s Senate special election next month amid the fallout over a bombshell report that Republican nominee Roy Moore pursued romantic relationships with teenagers as an adult.,right
4258,Perspectives: Biden's $1.8 Trillion 'American Families Plan',"['Domestic Policy', 'White House', 'Joe Biden', 'American Families Plan', 'Families And Parenting', 'Taxes', 'Education', 'Community College', 'Capital Gains', 'US Congress', 'General News']",Joe Biden: $6 Trillion Man,Guest Writer - Right,"President Biden has unveiled another $1.8 trillion government-spending package ahead of tonight’s joint session speech to Congress, bringing the total spending signed or proposed in his first 100 days to about $6 trillion.
Let’s see how we got here.
When Biden took office, he pushed a massive spending package as “COVID relief” even though only about 5 percent of the spending was directly related to fighting the pandemic. That cost $1.9 trillion.
Once that passed, he proposed another bill, pitched as infrastructure legislation, which was mostly made up of provisions...",right
19480,How Much Influence Will Trump Have Over The 2022 GOP Primary Elections?,"['2022 Elections', 'Brian Kemp', 'Campaign Rhetoric', 'Donald Trump', 'Elections', 'Endorsements', 'GOP', 'JD Vance', 'Mehmet Oz', 'Midterm Elections', 'Republican Party', '1492']",Trump’s influence to be tested in Ohio’s GOP Senate primary,Washington Times,"Former President Donald Trump‘s influence over the Republican Party will be put to the test on Tuesday in Ohio’s GOP Senate primary, where his last-minute endorsement has propelled the once-lagging candidate J.D. Vance into a tie for the lead.
Mr. Vance, author of the bestselling book “Hillbilly Elegy,” had been struggling in polls for weeks, stalled behind GOP rival and former state treasurer Josh Mandel, who held a firm lead over all seven Republican candidates and had won several high-profile endorsements.
But Mr. Vance‘s political future brightened considerably this month when Mr. Trump announced he would back Mr. Vance’s Senate bid. The...",right
14102,Congress Works to Avoid Government Shutdown,"['US Congress', 'Politics']",House rules panel to meet Thursday in bid to avoid government shutdown,Fox News (Online News),"There is a very distinct possibility there could be a government shutdown after 11:59 p.m. ET Friday.
But first, the House Rules Committee plans to meet Thursday, likely starting at 8 a.m., to prepare a stopgap government spending bill that they can present later Thursday to avoid a shutdown, Fox News has learned.",right
15627,Should McConnell Resign Next,"['US Senate', 'Politics']",Bobby Jindal Calls for Senate Leader Mitch McConnell to Resign Next,Breitbart News,"When news of GOP Speaker of the House Rep. John Boehner (R-OH)35%
’s resignation filtered into the Values Voter Summit on Friday, Louisiana Governor Bobby Jindal used the occasion to call for GOP Senate Leader Sen. Mitch McConnell (R-KY)52%
to follow the Speaker into retirement.
Kentucky’s Mitch McConnell only came to be the Senate majority leader with the 2014 elections when the GOP gained a sparse majority in the upper chamber, but for Jindal and many conservatives at the Summit, McConnell has already proven he isn’t up for...",right
10319,Biden Issues First Pardons and Commutations as President,"['Politics', 'Criminal Justice', 'Justice', 'Presidential Pardons']",Biden reveals first pardons and commutations of his administration,Washington Examiner,"President Joe Biden is commemorating Second Chance Month by announcing the first pardons and commutations of his administration.
Abraham Bolden, an 86-year-old former Secret Service agent who maintains he was wrongly convicted of trying to sell a copy of a Secret Service file, Betty Jo Bogans, a 51-year-old first-time offender who served seven years in prison for transporting crack cocaine for her boyfriend and his accomplice, and Dexter Jackson, a 52-year-old man who allowed marijuana dealers to meet buyers in his pool hall, were the three former inmates pardoned of their crimes, according to...",right
12281,Trump Rolls Out 'Platinum Plan' for Black Communities,"['Elections', 'Donald Trump', 'Ethnicity', 'Race And Racism', 'Ethnicity And Heritage', '2020 Election', 'Campaign Rhetoric']","Trump $500B Black America plan designates KKK, Antifa as 'terrorist organizations'",Fox News (Online News),"President Trump’s plan for Black America designates the KKK and Antifa as terrorist organizations and calls for making lynching a national hate crime, while pledging to increase access to capital in Black communities by nearly $500 billion, Fox News has learned.
The president on Friday is expected to roll out details of what the campaign is calling the “Platinum Plan,” which details “opportunity,” “security,” “prosperity,” and “fairness” for the Black Community.",right
21408,Will the Dems Be United on Syria,"['US Congress', 'Politics']",Dems in disarray over Syria,Fox News (Online News),"While President Obama is plenty busy in Russia today trying to build international support for his call to strike Syria, he’s been doing some long distance diplomacy back home as members of his own party recoil from his call to arms. Obama called senators to drum up support for military action. The White House has also ditched a scheduled presidential trip to Los Angeles next week in order to keep selling in Washington. Obama heads home today, but Secretary of State John Kerry picks up the ball overseas, departing for...",right
12057,How Will the Government Tackle High Inflation?,"['Economy And Jobs', 'Inflation', 'Economic Policy', '2022 Elections', 'Build Back Better']",Fed signals 'faster' interest rate hikes likely as inflation soars to 40-year high,Fox Business,"Most Federal Reserve officials agreed last month that surging inflation and an incredibly tight labor market could warrant a faster-than-expected pace of interest rate hikes this year as policymakers look to combat soaring prices.
Minutes from the U.S. central bank's Jan. 25-26 meeting show that many policymakers believe the current economic conditions could necessitate a quicker normalization of policy than in 2015, though they stressed that this outlook ultimately hinged on financial developments. The Fed kept rates ultra-low for years following the 2008 financial crisis, only raising them once at the end of 2015....",right
11150,Emails Show Trump Pressed DOJ to Back Election Fraud Claims,"['Justice Department', 'Donald Trump', 'William Barr', '2020 Election', 'Voting Rights And Voter Fraud', 'Justice']","Trump Pushed DOJ Officials To Back Claims That The Election Was Stolen, Documents Show",The Daily Caller,"Documents released by the House Oversight Committee show how former President Donald Trump and his allies pressured the Department of Justice (DOJ) to back his baseless claims that the 2020 election was rigged late last year.
The documents, which were made public Tuesday, show Trump and several allies, including his former chief-of-staff Mark Meadows, pressuring senior DOJ officials to investigate voter fraud claims last December and January. One email with the subject line “From POTUS” urged then-Deputy Attorney General Jeffrey Rosen to investigate alleged fraud in Antrim County, Michigan, even though...",right
21456,Fact Checking the St. Louis Debate,"['Presidential Elections', 'Elections']","AP FACT CHECK: Donald Trump, Hillary Clinton and their debate claims",Washington Times,Donald Trump mischaracterized the record on Hillary Clinton’s defense of her husband and her own treatment of women when he brought up Bill Clinton’s sexual history and other episodes of the past. Clinton didn’t give a square account of the fallout from her email practices.,right
2446,Trump Clinches Nomination,"['Presidential Elections', 'Elections']",Trump Formally Clinches Republican Nomination for President,The Blaze,"Donald Trump on Thursday reached the number of delegates needed to clinch the Republican nomination for president, completing an unlikely rise that has upended the political landscape and sets the stage for a bitter fall campaign.
Trump was put over the top in the Associated Press delegate count by a small number of the party’s unbound delegates who told the AP they would support him at the convention. Among them is Oklahoma GOP chairwoman Pam Pollard.
“I think he has touched a part of our electorate that doesn’t like where...",right
13955,State of the Election Process,"['Presidential Elections', 'Elections']",Political hatefest: Why the media—and the candidates—are dragging down the campaign,Fox News (Online News),"We are now at the point in this political season where everyone is hating on everyone else.
Think about it: What was the last time you saw a piece or watched a segment in which a candidate was portrayed positively?",right
10387,Live Election 2014 Coverage,['Elections'],2014 Election Center,Washington Times,"While the president is not on the ballot, midterm elections function largely as a referendum on his performance, which often means losses for the president’s party. Democrats lost the House of Representatives in 2010 and have a five-member majority in the Senate, helped by two left-leaning independents.",right
4677,Newsom Challenges DeSantis to Televised Debate Over Migrant Busing,"['Politics', 'Immigration', 'Gavin Newsom', 'Ron DeSantis', 'Greg Abbott', 'Partisan Politics', '2022 Elections']",Gavin Newsom challenges Ron DeSantis to debate: 'Name the time',Fox News (Online News),"Democratic California Gov. Gavin Newsom is challenging Republican Florida Gov. Ron DeSantis to a debate.
""Hey @GovRonDeSantis, clearly you're struggling, distracted, and busy playing politics with people’s lives. Since you have only one overriding need -- attention --let's take this up & debate. I’ll bring my hair gel. You bring your hairspray. Name the time before Election Day,"" Newsom tweeted on Friday.",right
15932,CNN Updates Article After Original Portrayal of Data Drew Criticism,"['Media Bias', 'CNN', 'Media Industry', 'Facts And Fact Checking', 'Fake News', 'Healthcare', 'Polls', 'COVID-19 Misinformation', 'Coronavirus']","No, 68 Percent of Americans Did Not Say They Would Avoid 'Normal Life' Until There's a Coronavirus Vaccine",Reason,"Two-thirds of Americans said they would not return to ""normal life"" until a vaccine becomes available for COVID-19, according to CNN.
The ramifications of this finding would be well worth discussing, since the timeline for a vaccine is unknowable: It could be available next year, in three years, or never. But it turns out that the headline, ""68% of Americans say a vaccine is needed before returning to normal life, new survey finds,"" is fake news.
The CNN article cites a Gallup poll as its source. But Gallup did not...",right
19350,Chief Justice Roberts Calls For Civility at Impeachment Trial,"['Supreme Court', 'Chief Justice John Roberts', 'US Senate', 'Polarization', 'US Congress', 'Impeachment', 'Politics']",Supreme Court Chief Justice Roberts Admonishes House Managers and Trump Lawyers,The Epoch Times,"Supreme Court Chief Justice John Roberts, who is presiding over the impeachment trial of President Donald Trump, admonished Trump’s team and House impeachment managers early Wednesday after the sides traded insults.
“I think it is appropriate at this point for me to admonish both the House managers and president’s counsel in equal terms to remember that they are addressing the world’s greatest deliberative body,” Roberts said in one of the few times he commented on Tuesday or so far Wednesday.
“One reason it has earned that title is because its...",right
5152,Feinsteins Views on Obama,"['US Senate', 'Politics']","Feinstein: Obama maybe ‘too cautious’ on ISIS, but plans are underway",Washington Times,"The chairwoman of the Senate Intelligence Committee said Sunday that President Obama is notably cautious — “maybe, in this instance, too cautious” — but insisted the U.S. and its allies will coalesce behind a plan to beat back the Islamic State in Iraq and Syria before their well-funded sources take Baghdad.
Mr. Obama raised eyebrows last week when he admitted that the U.S. does not have a strategy yet to defeat the movement.",right
18595,Will Debbie Be Dropped?,"['Presidential Elections', 'Elections']",Dems Want Debbie Out,Townhall,"It’s not just her primary challenger Debbie Wasserman Schultz has to worry about—it’s now some Democrats on Capitol Hill, too, who fear the DNC chair has become too divisive a figure to unify the party ahead of the convention.",right
246,"Lynch Being Held ""Hostage""?","['US Senate', 'Politics']",Obama: Congress endangers national security with Lynch delay,Washington Times,"President Obama is accusing Congress of playing politics with law enforcement and national security by holding hostage attorney general nominee Loretta Lynch in exchange for leverage on legislation.
Mr. Obama blasted Republicans for preventing the female federal prosecutor from New York from succeeding Attorney General Eric Holder during his weekly address to the country to Sunday.
But lawmakers have delayed the nomination of Ms. Lynch by more than 130 days over concerns surrounding Mr. Obama’s executive action on immigration, which would provide temporary legal status to millions of illegal immigrants...",right
21444,Elizabeth Warren Gets Leadership Spot,"['US Senate', 'Politics']",Elizabeth Warren gets leadership post by Senate Democrats,Washington Times,"The Senate Democratic Caucus will have fewer members as the minority party in the next Congress, but they will have a larger leadership team.
Senate Majority Leader Harry Reid, Nevada Democrat, announced Thursday that he was expanding the leadership team with the appointments Massachusetts Sen. Elizabeth Warren and Minnesota Sen. Amy Klobuchar, who will act as special liaisons to the party’s liberal base and to the R",right
639,Supreme Court Sidesteps Decision on Gerrymandering,['Elections'],"On Gerrymandering, SCOTUS Punts With a Purpose",National Review,"Earlier today, the Supreme Court issued its opinion in Gill v. Whitford — better known as the “Wisconsin gerrymandering case” — and the plaintiffs lost, at least for now. Wisconsin will not have to redraw its legislative districts. But the court didn’t rule for Wisconsin on the merits. Instead, it held that the plaintiffs hadn’t established Article III standing in the case. They hadn’t established a concrete, particularized, individual harm. Instead, they were arguing that they had suffered harms because they were Democrats, and Democrats as a whole were underrepresented...",right
11753,Fact-Checking the Georgia 'Suitcase' Voter Fraud Claims,"['Voting Rights And Voter Fraud', '2020 Election Fact Checking', 'Facts And Fact Checking', '2020 Election', 'Georgia', 'Elections']","No, The Georgia Vote-Counting Video Was Not ‘Debunked.’ Not Even Close",The Federalist,"A Big Tech-backed “fact” “checking” outfit claimed to debunk explosive evidence in support of Republicans’ claims of significant election problems at a Thursday Georgia Senate hearing. It didn’t. Not even close.
Newly discovered security footage from Georgia’s State Farm Arena showed dozens of ballot counters, media, and Republican observers leaving en masse at the same time from the ballot-counting area for Fulton County. After they left, a small remnant of about four workers began pulling trunks containing thousands of ballots from underneath a table with a long tablecloth and running...",right
6026,Previewing Tuesday's Primaries in California and 6 Other States,"['2022 Elections', 'Elections', '2022 New Jersey House Election', '2022 California Elections']",Crime in spotlight as Californians head to the polls in key races grabbing national attention,Fox News (Online News),"Voters in California, the nation’s most populous state, head to the polls on Tuesday to cast ballots in primary elections where the issue of crime is playing an outsized role in many of the key races.
""Murder up 54%. Nearly 1,500 shooting victims. A wave of property crime. There’s one candidate for mayor who can turn it around. Rick Caruso,"" says the narrator in a TV ad by Caruso, a pro-business billionaire developer who’s running a law-and-order type campaign for Los Angeles mayor.
Caruso, a former Republican who became a Democrat just before...",right
10549,Gallup Names Donald Trump and Michelle Obama as 2020's Most Admired Man and Woman,"['Culture', 'Donald Trump', 'Barack Obama', 'Michelle Obama', 'Joe Biden', 'Anthony Fauci', 'Polls']",Trump Dethrones Obama for 'Most Admired Man' in 2020,Townhall,"Former President Obama's 12-year reign is over. Although he enjoyed the title for years, President Trump has just nabbed ""Most Admired Man"" in Gallup's 2020 poll. Obama came in second, with president-elect Joe Biden grabbing third place, and Dr. Anthony Fauci entering the top ten for the first time at fourth place. Former first lady Michelle Obama won most admired woman of the year.",right
12496,Trump Holds Town Hall with Undecided Voters; Media Coverage Differs,"['Donald Trump', 'Campaign Rhetoric', 'Elections', '2020 Election']",Trump Defends Record In ABC Town Hall Event With Uncommitted Voters,The Daily Caller,"President Donald Trump defended his presidential behavior while speaking to undecided voters in Pennsylvania during ABC’s town hall event Tuesday evening, moderated by ABC News chief anchor George Stephanopoulos.
“So, I’m fighting a battle. It’s a big battlefield and I have a lot of forces against me,” Trump said, according to ABC News. “Sometimes you don’t have time to be totally, as you would say presidential — you have to get things done.”
Trump went on to tout his record, noting he’s appointed more than 200 federal judges and two...",right
9767,Fate of Gorsuch Nomination,"['US Senate', 'Politics']","McConnell vows Gorsuch confirmation this week, says nuclear option 'in hands of Democrats'",Fox News (Online News),Senate Majority Leader Mitch McConnell said Sunday that Judge Neil Gorsuch will be confirmed this week to the Supreme Court but acknowledged Republicans still might not have enough support from Senate Democrats to avoid their attempts to slow or try to stop the nomination process with a filibuster.,right
2483,"Putin-Linked Businessman Says ""We are Interfering"" in US Elections","['Russia', 'Elections', 'Election Security', 'Voting Rights And Voter Fraud', '2022 Elections', 'Vladimir Putin']",White House reassures voters after Kremlin-linked entrepreneur admits Russia meddled in elections,Washington Times,"The White House said Americans should feel confident in the election system despite a Kremlin-linked entrepreneur’s apparent admission that Russia interfered in U.S. elections and will continue to do so.
While Yevgeny Prigozhin’s remarks on the eve of the U.S. elections on Tuesday are concerning, they come as not “new or surprising,” said White House press secretary Karine Jean-Pierre.
“It’s well documented and in the public domain that entities associated with Yevgeny Prigozhin have sought to influence elections around the world including the United States,” she said. “It’s not surprising that Russia would be highlighting their attempted efforts...",right
5791,Debate: Libya Fact Check,"['Presidential Elections', 'Elections']",FACT CHECK: Did Obama really call consulate attack in Libya an 'act of terror'?,Fox News (Online News),"One of the tensest moments in an already tense debate Tuesday night came as President Obama and Mitt Romney clashed over the Obama administration's changing explanation for the attack on the U.S. Consulate in Benghazi, Libya, that left Ambassador Chris Stevens and three other Americans dead.",right
528,Iowa Caucus Results Begin to Emerge as Democrats Face Criticism for Delays,"['Iowa', 'Iowa Caucuses', '2020 Election', 'Presidential Elections', 'Democratic Party', 'Donald Trump', 'Voting', 'Elections']",Iowa’s Democratic Disaster,National Review,"On the menu today, Iowa’s Democrats give America a night it will never forget, for all the wrong reasons, while Republicans have a delightfully boring and predictable caucus night.
The Night the Iowa Caucus Died
For Iowa Democrats, the night of February 3, 2020 will forever rank among the greatest disappointments, frustrations, and purely enraging humiliations of their lives. As of 6:35 a.m. Eastern this morning, the Iowa Democratic Party simply . . . cannot tabulate the votes!
The delay is baffling, as anyone should be able to do this...",right
14305,Congress Returns for 'Lame Duck' Session,"['Politics', 'US Congress', 'Lame Duck', 'Voters', 'Same-Sex Marriage', 'Debt Ceiling', 'LGBTQ Issues', 'Government Shutdown']",Congress faces busy lame-duck session as it returns to Washington,Washington Times,"Members of Congress are still unpacking the results of the midterm elections, but they will return Monday to Washington with plenty to do, from funding the government to authorizing key defense programs.
Senate Majority Leader Charles E. Schumer over the weekend said senators should expect “heavy work” and “long hours” even as the final makeup of next year’s Senate hinges on a December run-off election in Georgia and key House races remain unsettled.
Most notably, Congress must pass a funding bill before Dec. 16 to avoid a government shutdown. Democrats could try to add special provisions to...",right
11479,Gearing up for DNC,"['Presidential Elections', 'Elections']",Obama embarking on march to party convention,Washington Times,"Both campaigns were crisscrossing the country as the race entered September, each day adding to the sense of urgency in a presidential contest that has remained tight since Romney sewed up the nomination in April. Both campaigns recognize that undecided elements of the electorate, including those in about eight key states, will begin to fully assess their options through the conventions and the upcoming debates in the weeks ahead.",right
9534,Mitt Romney Launches Senate Bid,['Elections'],Romney Takes A Swipe At Trump In Senate Announcement,The Daily Caller,Former Republican presidential nominee Mitt Romney announced his bid to become the next U.S. Senator from Utah in a Friday morning tweet.,right
21013,Perspectives: Bipartisanship in Biden's First 100 Days,"['Bridging Divides', 'Joe Biden', 'Polarization', 'White House', 'Campaign Rhetoric']",Biden’s Con against America,National Review,"One-hundred days in, Biden’s radical presidency makes clear that his campaign was, in fact, a fraud.
\‘It’s the unspoken Biden formula,” reports Axios. “Talk like a rosy bipartisan; act like a ruthless partisan.”
Indeed, it is. And to this maxim we might add a few others. Talk like a moderate; act like a radical. Talk about normality; act like a revolutionary. And, at all stages, aggressively hide the ball. Progressive pundits have taken to saying that Biden poses a problem for conservatives because he is so “boring.” That’s one way...",right
9224,Jan. 6 Hearing Highlights Trump’s Pressure on State Officials,"['Politics', 'January 6 Committee', 'Capitol Chaos', 'State Governments', 'Donald Trump', '2020 Election', 'Brad Raffensperger', 'Arizona', 'Georgia', 'Voting Rights And Voter Fraud', 'Elections', 'Liz Cheney', 'Adam Schiff', 'Bennie Thompson', 'US House']",Jan. 6 Committee: Watch Tuesday's hearing focused on pressuring state officials to take action,Fox News (Online News),"The Jan. 6 Select Committee is set to hold its fourth public hearing Tuesday, during which testimony is expected to focus on how pressuring state officials to overturn the 2020 election results may have influenced the Capitol protests. Committee member and Rep. Adam Schiff, D-Calif., will lead the hearing.",right
451,Minnesota Senator Amy Klobuchar Announces 2020 Presidential Run,"['Election 2020', 'Amy Klobuchar', 'Presidential Elections', 'Elections']",Scandal-Plagued Sen. Amy Klobuchar Announces 2020 Presidential Run,Reason,"""Minnesota Nice"" branding belies mean streak and temper, said staff. Will it harm her presidential chances?",right
7349,Election 2016 Reactions,"['Presidential Elections', 'Elections']","Shocking, Yes. Looming Dictatorship? No.",Jeff Jacoby,"At deadline, the presidential race hadn't been definitively called for Donald Trump or Hillary Clinton, but it was clear that Trump had once again turned conventional wisdom on its head and smashed it. Heading into Election Day, Clinton had seemed poised to finally break what she kept calling that ""highest, hardest glass ceiling."" By the wee hours of Wednesday morning, it had become even more likely that Trump was about to make history instead.",right
4589,Herman Cain's Chances Of A Federal Reserve Appointment Diminish,"['Federal Reserve', 'Herman Cain', 'US Senate', 'Politics']",Republican Defections May Have Just Ended Herman Cain's Federal Reserve Nomination,Townhall,"President Trump has nominated Herman Cain and Stephen Moore to the Federal Reserve board, choices that Nancy Pelosi called ""ill-suited,"" ""embarrassing,"" and ""the worst.""
Cain, the former Godfather’s Pizza CEO, became synonymous with his famous tagline, ""9-9-9,"" when he was running for president in 2012. That is, a 9 percent income tax, a 9 percent corporate tax, and a 9 percent national sales tax. He told voters he'd implement the plan in his first 90 days as president.
Moore is an economics expert who served as an adviser to Trump's...",right
521,Sanders Says Clinton Not Qualified,"['Presidential Elections', 'Elections']","Civil War: As Sanders Racks Up Wins, Democratic Race Getting Ugly",Townhall,"Lots of recriminations and pearl-clutching on the Left yesterday and today after Bernie Sanders channeled Marco Rubio and called Hillary Clinton unqualified to be president. This, after Clinton tied Sanders' heterodoxies on gun rights to the Sandy Hook massacre of elementary school children. A very tame race is getting a bit heated, as Leah noted earlier. Watch:",right
1506,Analysis Of The October Democratic Debate,"['Presidential Elections', 'Democratic Debates', 'Election 2020', 'Elections']",'Punitive' Warren takes heat in debate,Washington Times,"Senator Elizabeth Warren got a first taste of what it is like to be the front-runner on the debate stage Tuesday when her rivals ganged up on her and questioned whether her tax-the-rich rhetoric was too “punitive” for an already polarized nation.
The more moderate 2020 Democratic hopefuls took aim at Ms. Warren’s far-left agenda and plans for a wealth tax to finance a host of new benefits from tuition-free college to universal childcare.
“We need to be focused on lifting people up and sometimes I think that Sen. Warren...",right
